,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
750,롯데손해보험,000400,3540.0,134280000.0,16.39,0.94,0.28,,30270.0,358.0,,
751,대한제분,001130,167500.0,1690000.0,10.38,0.42,1.19,197.93,8075.0,442.0,1.1121840651220023,1.7654821549569348
752,대상,001680,25850.0,34648025.0,14.41,1.1,1.55,110.89,28550.0,1111.0,0.8101204060659467,1.2859859848099886
753,LG,003550,93900.0,172557131.0,15.37,1.19,1.07,121.67,107254.0,13447.0,0.7980493833469934,1.2668244306475902
754,동아쏘시오홀딩스,000640,148000.0,6138228.0,5.21,1.02,0.68,48.86,7262.0,760.0,0.8416351060229934,1.3360124526742667
755,코리안리,003690,11350.0,120369116.0,8.53,0.62,2.86,,85597.0,2072.0,0.974279774299302,1.546572738634052
756,한국주철관,000970,9830.0,22800500.0,9.19,0.85,2.04,130.41,3873.0,253.0,0.8952252679653447,1.4210815321167014
757,한일시멘트,003300,148500.0,7545313.0,13.86,0.69,1.08,219.15,14412.0,1016.0,0.941945325032279,1.4952449998527673
758,NPC,004250,5550.0,36720000.0,5.75,0.95,1.44,104.54,3779.0,156.0,0.8941654735323887,1.419399213318957
759,한국유리,002000,34650.0,10079660.0,14.34,0.64,2.24,142.08,3306.0,89.0,0.9859958020005438,1.5651707733318916
760,세아제강,003030,98400.0,6000000.0,9.07,0.45,1.78,100.67,17975.0,772.0,1.0845307213613014,1.72158520798076
761,대한전선,001440,1335.0,856473009.0,-63.57,3.58,,91.89,13740.0,487.0,,
762,대한제당,001790,24100.0,8840002.0,10.28,0.48,2.7,79.7,12642.0,448.0,1.0451915597337174,1.659138181429586
763,삼양홀딩스,000070,121500.0,8564271.0,47.65,0.69,1.65,120.01,23115.0,1410.0,0.9224239456607247,1.4642567417024916
764,세기상사,002420,83800.0,407592.0,-29.91,1.42,,20.28,55.0,7.0,,
765,한국타이어월드와이드,000240,19550.0,93020173.0,6.95,0.64,1.53,547.17,6900.0,2616.0,,
766,전방,000950,18600.0,1680000.0,-1.85,0.13,,11.59,2008.0,125.0,,
767,대한항공,003490,36350.0,94844634.0,-5.07,1.63,,30.26,117319.0,11208.0,,
768,동일방직,001530,53400.0,2335786.0,-33.82,0.19,0.9,54.68,8224.0,173.0,1.3811722279574512,2.19247424760892
769,유한양행,000100,224000.0,12209354.0,17.29,1.69,0.82,227.38,13208.0,978.0,0.7182297731764978,1.140118697495254
770,CJ대한통운,000120,135000.0,22812344.0,55.19,1.01,,109.64,60819.0,2284.0,,
771,메리츠화재,000060,23900.0,110338000.0,10.99,1.6,3.47,,71520.0,3143.0,0.7105132835391276,1.1278695337273907
772,경방,000050,13650.0,27415270.0,12.7,0.55,1.32,38.72,3774.0,434.0,0.9959345405254102,1.5809475373215016
773,유수홀딩스,000700,6940.0,26041812.0,-347.0,0.83,0.72,109.14,4470.0,184.0,1.0142311446922168,1.609991586023336
774,한진중공업홀딩스,003480,4000.0,29529812.0,-0.35,0.24,,10.62,3000.0,978.0,,
