,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
0,SK케미칼,285130,109500.0,11579852.0,,,,,,,,
1,BGF리테일,282330,209000.0,17283906.0,,,,,,,,
2,동양피스톤,092780,4495.0,13168460.0,4.84,0.74,1.74,40.26,2980.0,155.0,0.9228680065954582,1.4649616444974256
3,진에어,272450,28600.0,30000000.0,19.63,9.91,1.75,115.81,7197.0,523.0,0.42862095241024456,0.6803933507516338
4,케이씨텍,281820,19750.0,19839340.0,,,,,,,,
5,동아타이어,282690,13100.0,13733015.0,,,,,,,,
6,삼양패키징,272550,22950.0,14209804.0,13.47,1.5,,103.75,3101.0,410.0,,
7,테이팩스,055490,29600.0,4717650.0,257.39,1.77,0.42,99.34,636.0,53.0,,
8,롯데제과,280360,158000.0,4209102.0,,,,,,,,
9,제일약품,271980,70100.0,10504493.0,,,,,,,,
10,카카오,035720,135500.0,67908527.0,155.03,2.67,0.11,149.43,14642.0,1161.0,0.5992678648549498,0.9512784390814839
11,오리온,271560,113500.0,39533501.0,,,,,,,,
12,미원에스씨,268280,56000.0,5179111.0,,,,,,,,
13,경동도시가스,267290,41350.0,4717063.0,,,,,,,,
14,넷마블게임즈,251270,164000.0,85027180.0,60.32,9.14,,170.83,15000.0,2947.0,,
15,아이엔지생명,079440,54900.0,82000000.0,18.7,1.09,3.71,,42657.0,3219.0,0.8075518415644859,1.2819086428183217
16,현대건설기계,267270,197000.0,9876295.0,,,,,,,,
17,현대로보틱스,267250,432000.0,16286617.0,,,,,,,,
18,현대일렉트릭,267260,113500.0,10205783.0,,,,,,,,
19,크라운제과,264900,14650.0,12523850.0,,,,,,,,
20,덴티움,145720,69100.0,11068830.0,38.65,11.08,0.14,68.88,1200.0,285.0,0.4014046896865526,0.6371902266734022
21,호전실업,111110,13950.0,8000000.0,5.68,1.08,0.11,63.61,3170.0,280.0,0.8546810674538372,1.3567216255735248
22,핸즈코퍼레이션,143210,10250.0,21863268.0,4.87,0.74,1.74,68.65,6771.0,592.0,0.9188413585166908,1.4585697391012844
23,두산밥캣,241560,35450.0,100249166.0,19.93,1.06,1.98,112.16,39499.0,4140.0,,
24,삼성바이오로직스,207940,387500.0,66165000.0,-124.48,6.28,,52.38,2946.0,304.0,,
25,JW생명과학,234080,51500.0,7917277.0,26.89,4.52,1.16,41.2,1323.0,216.0,0.5202353884446124,0.8258222028880625
26,화승엔터프라이즈,241590,24750.0,30268335.0,15.97,3.47,0.14,84.24,6402.0,438.0,,
27,LS전선아시아,229640,6450.0,30624879.0,14.79,1.61,2.33,101.55,3451.0,195.0,,
28,모두투어리츠,204210,3820.0,7826815.0,,,,,,,,
29,일동제약,249420,22350.0,19629292.0,15.83,1.8,1.11,110.5,2013.0,148.0,,
30,샘표식품,248170,41850.0,4568286.0,33.24,1.84,0.48,70.6,1351.0,60.0,,
31,두올,016740,7400.0,18235986.0,9.96,1.08,1.55,114.78,2959.0,184.0,,
32,동서,026960,28150.0,99700000.0,23.58,2.38,2.38,,5138.0,456.0,0.6698590307972069,1.0633349301578847
33,한국자산신탁,123890,7080.0,93500000.0,9.3,1.76,2.34,,1365.0,962.0,0.7597371301374212,1.206007519599443
34,한국토지신탁,034830,3250.0,252489230.0,9.56,1.42,2.31,,1780.0,1140.0,0.8010243661334989,1.2715469214524764
35,해성디에스,195870,18650.0,17000000.0,15.89,1.97,1.34,127.55,2762.0,258.0,,
36,용평리조트,070960,10600.0,48133333.0,32.72,1.29,0.94,72.45,2107.0,304.0,0.7442964125668965,1.1814969082848485
37,해태제과식품,101530,17350.0,29116822.0,18.72,1.61,0.87,45.7,7928.0,352.0,0.6993865383225598,1.110206926665629
38,대림씨엔에스,004440,11400.0,12731947.0,3.75,0.5,5.26,187.06,2841.0,557.0,1.1523238846756139,1.8292001467421515
39,제이에스코퍼레이션,194370,13000.0,13335601.0,16.33,1.09,1.92,256.5,1885.0,124.0,0.8916861541911567,1.4154635391885202
40,코리아오토글라스,152330,16800.0,20000000.0,7.96,1.2,2.38,74.26,4402.0,470.0,,
