,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),시가총액 (억),PSR,POR,ROE
51,토니모리,214420,21000.0,17640000.0,28.73,2.91,1.1,155.68,2331.0,176.0,3704.4,1.5891891891891892,21.047727272727272,10.128785241907416
52,미래에셋생명,85620,5330.0,145180000.0,11.61,0.47,1.03,,41702.0,1168.0,7738.094,0.18555690374562372,6.625080479452055,4.04823428079242
53,경보제약,214390,13850.0,23906860.0,26.08,2.56,1.44,75.17,1867.0,156.0,3311.10011,1.7734869362613819,21.225000705128203,9.815950920245399
54,SK디앤디,210980,32100.0,16155000.0,19.04,2.46,1.1,45.41,2764.0,404.0,5185.755,1.8761776410998554,12.836027227722772,12.920168067226893
55,엔에스쇼핑,138250,15350.0,33696000.0,10.28,1.37,1.3,62.69,4411.0,790.0,5172.336,1.172599410564498,6.547260759493671,13.32684824902724
56,세화아이엠씨,145210,3295.0,28050716.0,-8.0,0.6,1.29,56.94,2038.0,16.0,924.2710922,0.45351869097154074,57.7669432625,-7.5
57,한솔제지,213500,13550.0,23800576.0,5.83,0.63,5.17,33.81,15305.0,1221.0,3224.978048,0.21071401816399868,2.6412596625716627,10.806174957118353
58,디와이파워,210540,21950.0,11041708.0,25.23,2.41,0.55,109.08,2291.0,140.0,2423.654906,1.0579026215626366,17.311820757142858,9.5521204914784
59,삼성물산,28260,136500.0,189690043.0,243.32,1.23,0.4,81.78,281027.0,1395.0,258926.908695,0.9213595444387905,185.61068723655913,0.5055071510767714
60,씨에스윈드,112610,31000.0,17285715.0,-31.03,1.65,0.64,216.45,3112.0,237.0,5358.57165,1.7219060571979434,22.610006962025317,-5.3174347405736375
61,우리은행,30,16500.0,676000000.0,8.84,0.54,2.42,,235048.0,15742.0,111540.0,0.4745413702733059,7.0855037479354595,6.108597285067874
62,삼성에스디에스,18260,262500.0,77377800.0,43.79,3.95,0.29,336.37,81802.0,6271.0,203116.725,2.483028837925723,32.38984611704672,9.020324274948619
63,만도,204320,276500.0,9391424.0,13.02,1.77,1.81,100.66,58664.0,3050.0,25967.28736,0.44264433656075275,8.51386470819672,13.594470046082948
64,서연이화,200880,9740.0,27028437.0,2.88,0.39,1.54,84.15,24029.0,1078.0,2632.5697638,0.10955802421241001,2.4420869794063083,13.541666666666668
65,쿠쿠홀딩스,192400,94900.0,5315894.0,11.47,1.37,3.27,231.65,7167.0,954.0,5044.783406,0.7038905268592158,5.2880329203354295,11.944202266782913
66,화인베스틸,133820,2180.0,31000000.0,90.83,0.66,,26.09,1631.0,42.0,675.8,0.41434702636419374,16.09047619047619,0.7266321699878895
