,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
150,와이아이케이,232140,6050.0,61788456.0,44.81,9.1,0.0,40.41,677.0,99.0,,
151,육일씨엔에쓰,191410,5830.0,8522980.0,-3.36,2.85,,34.58,432.0,128.0,,
152,이에스브이,223310,1230.0,79442511.0,-36.18,3.03,8.13,494.89,329.0,35.0,0.6750817656449055,1.0716255049492724
153,휴젤,145020,582000.0,4307705.0,44.17,7.52,,692.05,1242.0,633.0,,
154,한국맥널티,222980,13850.0,4975000.0,25.09,2.49,0.94,247.58,325.0,37.0,,
155,덱스터,206560,11250.0,22369349.0,46.3,3.11,,,318.0,24.0,,
156,아진산업,013310,6020.0,13221397.0,4.56,0.57,,43.42,5060.0,388.0,,
157,강스템바이오텍,217730,15650.0,16251712.0,-26.39,9.68,,,8.0,91.0,,
158,씨트리,047920,7200.0,12493171.0,141.18,4.51,,314.01,203.0,6.0,,
159,동부제4호스팩,230490,1990.0,5300000.0,,,,,,1.0,,
160,메가엠디,133750,2660.0,22368593.0,29.56,0.89,3.76,102.91,657.0,8.0,0.916222352329874,1.4544123259252202
161,보광산업,225530,5580.0,34470000.0,18.85,3.53,3.58,143.49,477.0,116.0,0.6118110359589592,0.9711894820870058
162,파크시스템스,140860,33950.0,6591055.0,59.35,8.38,0.15,441.19,245.0,35.0,0.43174324762017524,0.685349685452433
163,뉴트리바이오텍,222040,26750.0,20628000.0,32.07,6.77,,110.44,1208.0,188.0,,
164,예스티,122640,48450.0,4327321.0,82.54,4.9,,90.5,527.0,30.0,,
165,하나금융7호스팩,230240,2000.0,8000000.0,,,,,,1.0,,
166,멕아이씨에스,058110,4850.0,5361500.0,-14.56,2.64,,495.24,79.0,15.0,,
167,엔에스,217820,20850.0,4900000.0,49.29,4.36,0.48,157.6,296.0,22.0,,
168,미래테크놀로지,213090,10850.0,6120788.0,14.72,1.28,0.92,,220.0,43.0,0.8607247100098868,1.3663153101247176
169,하이즈항공,221840,7560.0,17696167.0,-40.86,1.7,,333.64,329.0,16.0,,
170,리드,197210,1165.0,51386205.0,129.44,3.38,,132.63,354.0,6.0,,
171,캔서롭,180400,39950.0,6089872.0,-443.89,8.01,,,51.0,7.0,,
172,매직마이크로,127160,1235.0,32221735.0,-6.0,1.16,,41.12,648.0,61.0,,
173,케이디켐,221980,15700.0,4034800.0,7.71,0.99,3.5,690.76,477.0,81.0,0.9256882055100831,1.4694384312212607
174,골든브릿지제4호스팩,227950,1995.0,7550000.0,,,,,,1.0,,
175,네오오토,212560,5890.0,7874963.0,5.88,0.67,1.7,74.76,1405.0,101.0,0.9957498325145517,1.580654331630758
176,케어젠,214370,92700.0,10743000.0,43.24,4.06,1.08,,468.0,257.0,,
177,아이진,185490,23750.0,10966342.0,-28.79,14.72,,,3.0,86.0,,
178,나무가,190510,27450.0,3420798.0,-22.12,1.18,,105.36,2926.0,7.0,,
179,유앤아이,056090,13500.0,7687642.0,-49.82,1.73,,793.68,117.0,32.0,,
180,에이치엠씨3호스팩,226340,1995.0,6500000.0,,,,,,,,
181,더블유게임즈,192080,57900.0,17595514.0,20.34,2.42,1.12,562.11,1556.0,449.0,,
182,연우,115960,35150.0,12398000.0,20.84,2.43,,210.51,2346.0,249.0,,
183,키움스팩4호,226850,1995.0,10204000.0,,,,,,1.0,,
184,에이티젠,182400,23500.0,11988565.0,-107.8,13.17,,,69.0,79.0,,
185,엑시콘,092870,14300.0,8883500.0,24.61,1.81,0.7,190.12,451.0,31.0,0.7081692412497329,1.1241485985313475
186,이엑스티,226360,1875.0,25322574.0,8.37,2.25,,312.0,298.0,56.0,,
187,이베스트스팩3호,225440,2005.0,4100000.0,,,,,,,,
188,에치디프로,214870,9850.0,7040175.0,-54.42,1.76,0.51,332.37,329.0,27.0,0.6982671368796112,1.1084299876375174
189,IBKS제3호스팩,225430,2000.0,4500000.0,,,,,,1.0,,
190,동부스팩3호,226440,2055.0,4450000.0,,,,,,,,
191,신영스팩2호,225590,2040.0,5105000.0,,,,,,,,
192,넷게임즈,225570,2900.0,115527438.0,31.87,20.28,,560.5,256.0,103.0,,
193,제너셈,217190,3800.0,8769174.0,-18.63,1.19,1.32,192.73,178.0,25.0,0.8504125313956602,1.3499457469444105
194,타이거일렉,219130,6300.0,6314290.0,44.06,1.12,,617.08,280.0,11.0,,
195,인포마크,175140,23600.0,3628208.0,76.62,2.99,,54.69,637.0,22.0,,
196,유진스팩3호,221200,2000.0,6750000.0,,,,,,,,
197,쿠첸,225650,9500.0,10686277.0,15.65,1.53,,123.96,2726.0,98.0,,
198,씨아이에스,222080,1825.0,53624705.0,10.67,2.64,,112.48,761.0,103.0,,
199,해마로푸드서비스,220630,2300.0,93897786.0,22.77,4.86,1.09,118.25,2019.0,169.0,0.577189068760386,0.9162305349347822
200,교보5호스팩,223040,2000.0,5430000.0,,,,,,1.0,,
201,에이텍티앤,224110,11400.0,5340000.0,82.61,2.05,,412.66,360.0,7.0,,
202,웹스,196700,5000.0,6849238.0,17.61,0.85,,144.54,273.0,19.0,,
203,케이비드림3호스팩,221950,2000.0,6815000.0,,,,,,,,
204,파인텍,131760,5440.0,10236407.0,-4.76,0.85,,70.9,1537.0,82.0,,
205,닉스테크,222810,2635.0,15659201.0,-10.58,2.66,,97.18,148.0,31.0,,
206,심텍,222800,9410.0,22752959.0,7.1,1.17,2.12,30.23,7920.0,402.0,,
207,흥국에프엔비,189980,8980.0,7341291.0,19.69,1.14,1.11,107.28,414.0,39.0,0.8592376169228071,1.3639546969939127
208,쎄노텍,222420,3315.0,39183915.0,41.96,3.64,,126.87,402.0,65.0,,
