,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억)
818,새로닉스,042600,6590.0,12423574.0,7.47,1.15,0.61,206.41,1179.0,45.0
819,오리엔트정공,065500,633.0,59117127.0,-5.5,1.07,,74.97,710.0,2.0
820,퍼시픽바이오,060900,1370.0,40721211.0,-42.81,8.95,,141.36,332.0,4.0
821,국보디자인,066620,17950.0,7500000.0,12.53,1.51,1.39,192.6,2014.0,105.0
822,에스아이리소스,065420,767.0,52830995.0,-38.35,2.04,,96.41,252.0,39.0
823,와이디온라인,052770,3905.0,24366023.0,-22.84,9.86,,71.27,374.0,9.0
824,필링크,064800,3375.0,54600335.0,562.5,3.02,0.3,163.52,331.0,17.0
825,리노스,039980,2280.0,35996153.0,30.0,1.23,1.25,109.93,1003.0,41.0
826,현대아이비티,048410,5260.0,32574192.0,-19.77,8.75,,111.16,361.0,70.0
827,에프티이앤이,065160,6320.0,67799785.0,-351.11,7.01,,87.73,449.0,6.0
828,에스피지,058610,6920.0,20876975.0,7.37,1.25,1.45,100.33,1523.0,61.0
829,토탈소프트,045340,3465.0,8558040.0,28.64,4.99,,254.24,94.0,8.0
830,대진디엠피,065690,3180.0,13864500.0,16.39,0.47,,465.68,639.0,42.0
831,서호전기,065710,13300.0,5150000.0,7.76,1.18,5.26,267.37,594.0,79.0
832,한프,066110,2145.0,32429369.0,-13.16,1.27,,22.65,184.0,37.0
833,서울리거,043710,4360.0,21115308.0,-34.88,2.33,,790.18,185.0,3.0
834,홈센타홀딩스,060560,1770.0,83796067.0,6.25,0.88,1.42,64.27,957.0,1.0
835,아비코전자,036010,9840.0,13292934.0,12.88,1.57,2.24,645.21,806.0,108.0
836,큐렉소,060280,10200.0,28922253.0,-200.0,3.71,,207.29,301.0,404.0
837,제낙스,065620,32050.0,22486744.0,-115.7,22.4,,16.37,61.0,40.0
838,이그잭스,060230,1260.0,40379182.0,-3.23,1.88,,56.23,462.0,2.0
839,옴니텔,057680,5960.0,20720768.0,-9.06,13.61,,153.48,298.0,70.0
840,우원개발,046940,3765.0,14650592.0,8.26,0.93,,114.48,2071.0,40.0
841,인선이엔티,060150,7650.0,35779733.0,588.46,1.8,,35.82,1355.0,181.0
842,전파기지국,065530,14800.0,5286000.0,11.41,0.95,3.38,93.11,939.0,100.0
843,에프엔씨애드컬쳐,063440,1225.0,38307875.0,-10.29,1.16,,,114.0,24.0
844,지어소프트,051160,2140.0,13610573.0,-4.83,4.2,,94.59,796.0,15.0
845,지엔코,065060,2670.0,98008044.0,-29.34,1.55,,73.4,1218.0,11.0
846,셀루메드,049180,10500.0,18833437.0,-5.21,3.89,,61.64,98.0,127.0
847,KH바텍,060720,16000.0,20000000.0,-17.8,1.23,0.31,99.13,3782.0,153.0
848,알에프텍,061040,4965.0,19050000.0,9.57,0.81,0.67,151.12,3220.0,90.0
849,에스폴리텍,050760,1880.0,16334678.0,7.8,0.61,1.33,70.76,1177.0,28.0
850,이랜텍,054210,4400.0,20478206.0,6.1,0.55,1.82,66.7,6022.0,192.0
851,라이브플렉스,050120,1370.0,83243054.0,5.02,1.59,,,343.0,22.0
852,케이피티,054410,6220.0,5060000.0,8.51,1.11,0.8,42.7,213.0,7.0
853,3S,060310,2240.0,41974138.0,-10.67,3.22,,96.12,265.0,24.0
854,화일약품,061250,7230.0,14410958.0,16.32,0.98,2.08,267.73,1115.0,25.0
855,오상자이엘,053980,9390.0,17747882.0,-44.93,3.53,,68.06,608.0,1.0
856,농우바이오,054050,16650.0,14300000.0,-31.53,1.42,,104.54,1031.0,135.0
857,케이엘넷,039420,3480.0,24154730.0,51.94,2.54,0.57,247.39,351.0,14.0
858,에스티아이,039440,29200.0,12736670.0,22.27,5.73,0.51,140.37,1804.0,221.0
859,잉크테크,049550,3245.0,16019932.0,-5.95,1.44,,39.34,739.0,1.0
860,대한뉴팜,054670,13800.0,14354920.0,-34.94,2.72,0.36,142.76,1094.0,115.0
861,씨티씨바이오,060590,14400.0,17575133.0,-91.72,2.73,,56.36,1231.0,26.0
862,인탑스,049070,10300.0,17200000.0,8.26,0.46,1.75,160.33,6174.0,352.0
863,KT서브마린,060370,4330.0,21900000.0,18.43,0.88,1.15,77.11,840.0,81.0
864,피씨디렉트,051380,4315.0,7540136.0,24.94,1.2,0.46,168.27,2081.0,28.0
865,현진소재,053660,4600.0,9890124.0,21.2,3.42,,21.04,1729.0,88.0
866,구영테크,053270,2015.0,19794174.0,15.38,0.65,4.96,51.13,1483.0,43.0
867,한국기업평가,034950,53100.0,4540514.0,18.04,2.73,3.67,504.02,743.0,209.0
868,뉴보텍,060260,2675.0,24613919.0,107.0,4.02,,147.36,359.0,8.0
869,동양에스텍,060380,3010.0,10000000.0,6.89,0.59,3.32,72.31,1520.0,39.0
870,백금T&A,046310,5540.0,14313750.0,-36.45,2.71,,102.54,602.0,22.0
871,크레아플래닛,058530,876.0,54677826.0,-27.38,0.7,,87.58,598.0,39.0
872,고려신용정보,049720,2845.0,14300000.0,10.94,2.37,6.15,154.69,849.0,54.0
873,제일바이오,052670,4125.0,15000000.0,60.66,1.81,,661.43,358.0,8.0
874,서울반도체,046890,26350.0,58305400.0,42.43,2.52,0.31,99.75,9538.0,575.0
875,아가방컴퍼니,013990,5600.0,32887536.0,91.8,1.07,,273.99,1503.0,16.0
876,일야,058450,2740.0,9780000.0,12.86,1.03,4.01,102.28,739.0,26.0
877,미코,059090,3900.0,31316603.0,81.25,1.78,,102.3,1410.0,186.0
878,에스아이티글로벌,050320,3220.0,12150940.0,-1.46,12.11,,94.48,127.0,89.0
879,유신,054930,12000.0,3000000.0,21.28,0.42,1.67,278.96,1516.0,14.0
880,프럼파스트,035200,4485.0,8041993.0,12.39,1.32,1.39,319.52,453.0,40.0
881,한국컴퓨터,054040,4875.0,16071290.0,11.39,0.77,2.67,556.67,2356.0,74.0
882,대동스틸,048470,4670.0,10000000.0,10.81,0.79,1.07,614.2,682.0,44.0
883,레드로버,060300,4170.0,44474010.0,231.67,1.23,,390.64,419.0,19.0
884,링네트,042500,3870.0,14936878.0,16.75,1.06,,205.54,1289.0,47.0
885,엔알케이,054340,2240.0,24584758.0,-4.53,1.41,,275.59,290.0,65.0
886,제이웨이,058420,2520.0,11064210.0,-15.18,2.94,,514.74,75.0,10.0
887,큐로컴,040350,2910.0,104461536.0,-13.11,4.08,,163.44,190.0,51.0
888,팬스타엔터프라이즈,054300,831.0,41124943.0,-7.69,1.26,,73.97,281.0,24.0
889,한빛소프트,047080,4355.0,24779836.0,-14.76,5.32,,126.22,307.0,50.0
890,NHN한국사이버결제,060250,17350.0,19587503.0,36.15,3.82,0.65,146.16,2721.0,115.0
891,금강철강,053260,3650.0,18720000.0,11.97,0.59,2.74,419.33,1627.0,41.0
892,룽투코리아,060240,7950.0,24176133.0,220.83,3.61,,143.28,715.0,68.0
893,포스링크,056730,2800.0,36014118.0,-6.17,3.39,,57.01,83.0,45.0
894,SKC 솔믹스,057500,4785.0,61494040.0,-6.29,8.99,,46.61,945.0,173.0
895,동아화성,041930,4605.0,15800000.0,4.85,0.78,2.17,90.09,2401.0,146.0
896,비츠로시스,054220,1310.0,43661071.0,48.52,0.82,,100.55,721.0,20.0
897,오리엔탈정공,014940,1110.0,40545960.0,-2.23,3.95,,32.39,1830.0,16.0
898,크로바하이텍,043590,4770.0,13000000.0,-238.5,1.8,,79.8,602.0,18.0
899,리노공업,058470,54500.0,15242370.0,23.47,4.1,1.65,950.05,1128.0,393.0
