,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지),시가총액 (억),PSR,POR,ROE
70,종근당,185750,151500.0,9409050.0,34.81,4.02,0.59,113.74,8320.0,612.0,0.5221875232188473,0.8289210236822668,1.0461127785049809,14254.71075,1.713306580528846,23.292011029411764,11.548405630565927
72,아세아시멘트,183190,130000.0,3295809.0,10.58,0.66,1.13,290.89,4557.0,570.0,0.9692370135132534,1.5385678548574544,1.063215504515543,4284.5517,0.9402132323897301,7.516757368421053,6.238185255198489
73,현대로템,064350,16950.0,85000000.0,65.95,1.04,,163.78,29848.0,1062.0,,,,14407.5,0.48269565800053604,13.56638418079096,1.5769522365428355
75,NHN엔터테인먼트,181710,82300.0,19565025.0,128.79,1.08,,271.95,8564.0,264.0,,,,16102.015575,1.880197988673517,60.99248323863636,0.8385744234800839
78,DSR,155660,5790.0,16000000.0,8.62,0.7,0.86,130.49,2011.0,134.0,0.9479579221017114,1.504789402765845,1.0604700450136426,926.4,0.46066633515663846,6.913432835820895,8.120649651972158
80,동아에스티,170900,122500.0,8443868.0,96.69,1.75,0.41,118.0,5605.0,148.0,0.6822415975671497,1.0829910296745584,1.0358436556636204,10343.7383,1.8454484032114185,69.89012364864865,1.8099079532526632
81,지엠비코리아,013870,11000.0,19072280.0,11.19,0.95,1.36,85.33,4951.0,243.0,0.8485970573519293,1.347063861537571,1.0510403482711128,2097.9508,0.42374283983033734,8.633542386831277,8.489722966934764
83,동일고무벨트,163560,8660.0,12640000.0,6.29,0.63,0.87,153.9,2344.0,217.0,,,,1094.624,0.4669897610921502,5.0443502304147465,10.01589825119237
84,한국콜마,161890,89500.0,21104461.0,35.57,7.0,0.28,90.73,6675.0,734.0,0.4701899415674432,0.7463800078690256,1.1332246503617769,18888.492595,2.82973671835206,25.73364113760218,19.679505201012088
86,애경유화,161000,18950.0,32040000.0,11.29,2.37,1.58,125.2,8677.0,750.0,0.6646722905777576,1.0551014932772451,1.11652132203057,6071.58,0.6997326264838077,8.09544,20.992028343666966
97,인터지스,129260,3200.0,29747874.0,12.03,0.46,3.75,90.72,4654.0,107.0,1.0809187838234695,1.7158516145335625,1.0512895311967816,951.931968,0.2045406033519553,8.89656044859813,3.8237738985868663
98,삼양사,145990,104500.0,10289803.0,12.36,0.99,1.43,110.05,20009.0,1473.0,0.8429205323170124,1.3380529397256202,1.0584614115032729,10752.844135,0.5374003765805387,7.299962073998642,8.009708737864079
99,하나투어,039130,114500.0,11616185.0,165.46,6.69,1.31,112.09,5955.0,209.0,0.450319167968782,0.7148371209550888,1.0690691673051032,13300.531825,2.2335066036943743,63.63890825358852,4.043273298682461
101,에이블씨엔씨,078520,18650.0,24823163.0,18.21,1.63,1.88,224.36,4346.0,243.0,0.7194046150386215,1.1419836427030854,1.0667084929472188,4629.5198995,1.0652369764150944,19.05152222016461,8.951125755079625
102,삼원강재,023000,3230.0,40000000.0,9.1,0.68,3.87,205.13,2684.0,159.0,0.99937276657525,1.5864053809699217,1.1072367195868271,1292.0,0.481371087928465,8.125786163522013,7.4725274725274735
105,한국항공우주,047810,53500.0,97475107.0,19.69,3.61,1.27,161.47,29463.0,3201.0,0.5694448977867529,0.9039374297846152,1.1006032017887122,52149.182245,1.7699888757085158,16.291528348953452,18.334179786693753
107,한세엠케이,069640,12100.0,12909322.0,30.63,1.0,1.65,100.17,3185.0,103.0,0.8198650657783152,1.3014546678884744,1.032965254447544,1562.027962,0.4904326411302982,15.165320019417475,3.26477309826967
111,스카이라이프,053210,14700.0,47821966.0,10.24,1.29,2.82,232.28,6651.0,806.0,0.8194187819923833,1.30074623653721,1.1238606952193582,7029.829002,1.056958202074876,8.721872210918114,12.59765625
112,세아특수강,019440,20150.0,8570000.0,7.31,0.57,3.72,164.67,6688.0,404.0,1.0419628878034433,1.6540129842110087,1.088480202718112,1726.855,0.25820200358851675,4.274393564356435,7.7975376196990425
114,한국종합기술,023350,6910.0,10950000.0,24.68,0.62,1.45,141.89,1994.0,42.0,0.9538376230883502,1.514122846297294,1.024743118187816,756.645,0.3794608826479438,18.01535714285714,2.512155591572123
116,일진머티리얼즈,020150,38400.0,46000000.0,39.55,5.43,0.13,140.34,3990.0,290.0,0.4580670508776883,0.7271361184352131,1.0143916418999208,17664.0,4.427067669172932,60.91034482758621,13.72945638432364
