,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억)
1200,흥구석유,024060,2825.0,15000000.0,19.48,0.59,3.54,341.54,1438.0,10.0
1201,대한약품,023910,47550.0,6000000.0,16.16,3.07,0.46,126.67,1394.0,217.0
1202,아트라스BX,023890,48100.0,9150000.0,8.68,0.83,0.62,160.6,5548.0,642.0
1203,이화공영,001840,4555.0,19805760.0,64.15,2.14,0.77,170.17,1650.0,16.0
1204,풍국주정,023900,13950.0,12600000.0,19.57,1.65,1.62,312.05,968.0,115.0
1205,대림제지,017650,1110.0,45000000.0,2.94,0.51,,423.05,674.0,72.0
1206,대한광통신,010170,7300.0,59741625.0,-27.24,5.68,,88.86,1165.0,15.0
1207,동일철강,023790,4260.0,7345085.0,-30.21,0.59,,27.32,582.0,37.0
1208,플레이위드,023770,8100.0,3075469.0,11.77,2.29,,13.18,118.0,23.0
1209,한국캐피탈,023760,613.0,168209576.0,9.89,0.51,3.26,,969.0,144.0
1210,한일사료,005860,1930.0,39403685.0,30.16,1.18,1.29,51.49,3100.0,66.0
1211,서연전자,012860,2245.0,27000000.0,3.79,0.35,2.23,62.97,7312.0,162.0
1212,CNH,023460,1325.0,37200000.0,15.59,0.48,1.89,,784.0,48.0
1213,국영지앤엠,006050,1200.0,34895243.0,109.09,0.79,,218.22,515.0,2.0
1214,유진기업,023410,5180.0,75501370.0,6.36,0.55,2.9,52.36,10746.0,967.0
1215,제일제강,023440,1120.0,26032185.0,-24.35,0.51,,80.39,379.0,3.0
1216,보성파워텍,006910,2675.0,45854719.0,243.18,1.3,,198.01,720.0,38.0
1217,지엠피,018290,5170.0,21478034.0,-4.75,2.7,,50.95,411.0,87.0
1218,태광,023160,14000.0,26500000.0,46.82,0.83,0.36,669.57,2448.0,37.0
1219,영신금속,007530,4400.0,6292968.0,25.29,0.77,0.91,37.72,1173.0,3.0
1220,신라섬유,001000,2895.0,24277540.0,263.18,5.14,,1.87,38.0,8.0
1221,원일특강,012620,10300.0,4400000.0,8.7,0.47,0.78,170.08,2064.0,74.0
1222,서한,011370,2385.0,100894865.0,3.72,1.13,1.26,124.14,4996.0,895.0
1223,바른손,018700,4090.0,13903900.0,-141.03,1.46,,497.65,46.0,23.0
1224,부방,014470,3040.0,47293490.0,16.08,0.79,,121.78,2570.0,116.0
1225,대명코퍼레이션,007720,3105.0,100800450.0,-207.0,3.22,,434.09,2175.0,3.0
1226,대양제지,006580,1745.0,26850000.0,14.3,0.44,,51.74,1951.0,63.0
1227,유니크,011320,7190.0,19320695.0,17.67,1.53,1.25,75.28,2547.0,89.0
1228,진로발효,018120,33200.0,7524000.0,13.93,2.99,3.64,451.34,868.0,214.0
1229,청보산업,013720,2770.0,8178771.0,81.47,1.01,0.9,112.95,209.0,1.0
1230,삼보산업,009620,7380.0,4125000.0,-3.32,0.9,,38.9,3399.0,17.0
1231,푸드웰,005670,5290.0,8000000.0,27.55,0.97,1.42,36.86,1082.0,38.0
1232,푸른저축은행,007330,7050.0,15082800.0,4.08,0.4,7.09,,642.0,283.0
1233,피제이전자,006140,7550.0,10000000.0,9.78,0.78,3.2,220.89,1060.0,71.0
1234,그랜드백화점,019010,11900.0,4820000.0,4.24,0.23,2.52,45.73,697.0,37.0
1235,엠에스씨,009780,10300.0,8800000.0,9.14,1.52,0.58,50.79,1356.0,129.0
1236,데코앤이,017680,554.0,91826074.0,-4.29,1.15,,99.92,554.0,81.0
1237,행남자기,008800,248.0,113863050.0,-0.87,0.87,,102.99,284.0,40.0
1238,대동금속,020400,39850.0,480000.0,-75.47,0.73,0.63,46.31,611.0,6.0
1239,광림,014200,3570.0,48498486.0,-87.07,1.75,,58.22,873.0,2.0
1240,대원산업,005710,8070.0,20037600.0,3.78,0.73,1.13,150.57,8236.0,405.0
1241,큐캐피탈,016600,1140.0,134101053.0,39.31,1.68,,,143.0,39.0
1242,한국가구,004590,34750.0,1500000.0,9.08,0.64,2.73,217.52,575.0,75.0
1243,포비스티앤씨,016670,1790.0,40078058.0,31.96,1.25,,238.8,1121.0,21.0
1244,중앙에너비스,000440,28050.0,1245426.0,33.04,0.56,2.85,45.2,916.0,21.0
1245,삼륭물산,014970,4610.0,15125000.0,7.48,1.04,1.09,69.29,1011.0,131.0
1246,경동제약,011040,27650.0,13275000.0,20.85,1.55,2.53,325.83,1586.0,263.0
1247,원풍,008370,3900.0,12000000.0,8.82,0.62,3.97,331.48,750.0,57.0
1248,네이처셀,007390,27000.0,52832399.0,-421.88,40.3,,104.71,268.0,36.0
1249,삼일기업공사,002290,2800.0,12400000.0,50.0,0.66,3.21,594.88,282.0,1.0
1250,일지테크,019540,4175.0,13513500.0,2.98,0.44,3.59,41.81,3432.0,266.0
1251,한일화학,007770,11800.0,3510000.0,13.02,0.47,1.27,165.68,1468.0,45.0
1252,한국알콜,017890,7400.0,21605760.0,5.31,0.64,0.68,200.63,1886.0,194.0
1253,대주산업,003310,2245.0,35392350.0,40.82,1.64,1.11,88.25,851.0,32.0
1254,글로본,019660,2885.0,28001047.0,-13.05,2.66,,,150.0,58.0
1255,세명전기,017510,6900.0,15246000.0,33.33,1.66,1.16,597.58,166.0,34.0
1256,에이티넘인베스트,021080,3800.0,48000000.0,33.63,2.83,0.92,,132.0,67.0
1257,대동기어,008830,22100.0,898752.0,-6.47,0.33,0.9,49.64,929.0,30.0
1258,피에스텍,002230,5530.0,19669243.0,23.33,0.78,1.36,,507.0,45.0
1259,코센,009730,1395.0,40098335.0,-5.69,2.2,,98.31,539.0,65.0
1260,카스,016920,1500.0,21474112.0,-9.32,0.81,1.52,63.05,1316.0,28.0
1261,하이록코리아,013030,25100.0,13613232.0,11.31,1.12,1.59,500.22,1771.0,373.0
1262,SBI인베스트먼트,019550,1235.0,162066575.0,65.0,2.36,,,168.0,31.0
1263,엠벤처투자,019590,460.0,110405559.0,-5.11,1.81,,,71.0,106.0
1264,제미니투자,019570,614.0,40000000.0,40.93,1.57,,,46.0,6.0
1265,모헨즈,006920,6000.0,10920000.0,52.63,3.48,,78.25,1122.0,37.0
