,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
1100,기산텔레콤,035460,2995.0,14577340.0,-17.51,1.17,0,149.19
1101,마제스타,035480,1475.0,45529070.0,-2.14,1.18,0,163.02
1102,바른손이앤에이,035620,1800.0,67865702.0,4.23,3.66,0,178.81
1103,솔본,035610,5800.0,27345997.0,414.29,1.16,0,403.81
1104,시공테크,020710,7350.0,20047970.0,-21.81,1.85,0,189.59
1105,신일제약,012790,11950.0,7900000.0,9.4,1.03,1.17,584.47
1106,조아제약,034940,5040.0,28310231.0,840.0,2.98,0,154.02
1107,인성정보,033230,4750.0,19158271.0,71.97,2.28,0,96.14
1108,인터파크홀딩스,035080,3720.0,58500000.0,-3.6,0.55,1.34,113.17
1109,동국산업,005160,3960.0,54244482.0,8.74,0.57,3.79,97.33
1110,매일홀딩스,005990,15050.0,13718304.0,5.08,0.47,1.66,116.03
1111,해성산업,034810,15650.0,9780000.0,24.38,1.08,0.8,262.27
1112,녹십자셀,031390,45700.0,11695939.0,-5712.5,13.63,0.11,170.27
1113,디에스티,033430,5030.0,9248139.0,-1.8,3.27,0,59.45
1114,한국정보통신,025770,11350.0,38812743.0,15.74,3.0,0,183.38
1115,파라텍,033540,4440.0,16671620.0,21.35,0.99,0.75,162.84
1116,동성화인텍,033500,6300.0,26983609.0,17.4,1.4,2.06,73.71
1117,드래곤플라이,030350,4085.0,14847079.0,-194.52,1.84,0,23.35
1118,디케이디앤아이,033310,1870.0,21972411.0,8.82,0.87,2.67,68.65
1119,엠케이전자,033160,11550.0,21807689.0,11.32,0.97,0.69,184.65
1120,제이씨현시스템,033320,11100.0,19114432.0,48.9,3.17,0.22,180.74
1121,포스코엠텍,009520,2380.0,41642703.0,31.73,1.29,1.05,112.28
1122,스페코,013810,4045.0,14655470.0,13.13,1.35,1.24,89.32
1123,좋은사람들,033340,2135.0,26412536.0,-13.51,0.67,0,178.51
1124,모아텍,033200,5100.0,14331185.0,-17.0,0.64,0,562.79
1125,코웰패션,033290,5180.0,90500234.0,24.09,3.61,0,115.18
1126,코콤,015710,7480.0,17530500.0,18.16,1.32,2.01,169.06
1127,이디,033110,2270.0,54136185.0,-25.51,3.52,0,80.15
1128,제룡전기,033100,7030.0,16062409.0,-41.85,2.24,0.71,218.58
1129,제이엠아이,033050,1090.0,32579342.0,-29.46,0.74,0,94.46
1130,디지틀조선,033130,2125.0,37115267.0,17.0,1.2,1.88,714.85
1131,바이온,032980,1975.0,33447174.0,-21.7,1.95,0,70.74
1132,와이지-원,019210,17650.0,28957714.0,27.66,1.9,0.96,47.75
1133,특수건설,026150,4025.0,9994814.0,-5.8,0.63,0,138.65
1134,하림홀딩스,024660,3560.0,89157190.0,9.73,0.84,1.4,69.11
1135,아이즈비전,031310,2910.0,15772574.0,11.41,0.62,2.23,203.66
1136,동일기연,032960,12900.0,5960348.0,13.99,0.9,0.25,619.12
1137,소프트센,032680,1920.0,30780260.0,-66.21,1.87,0,133.36
1138,원익,032940,5760.0,12634432.0,0.89,0.59,0,42.71
1139,원풍물산,008290,3470.0,38391781.0,-204.12,4.39,0,59.2
1140,삼진,032750,11600.0,6000000.0,12.02,1.11,1.03,197.29
1141,GMR 머티리얼즈,032860,530.0,67558840.0,-4.27,1.42,0,94.1
1142,비트컴퓨터,032850,6140.0,16623293.0,18.89,2.45,1.19,268.36
1143,엠젠플러스,032790,8120.0,14266629.0,-15.12,8.46,0,81.37
1144,판타지오,032800,1265.0,72703943.0,-20.08,2.45,0,44.73
1145,유비케어,032620,3960.0,40286470.0,31.43,3.37,0.76,297.72
1146,피델릭스,032580,1975.0,20567273.0,-4.41,1.69,1.52,71.83
1147,TJ미디어,032540,4625.0,13931609.0,74.6,0.8,1.3,255.37
1148,휴맥스홀딩스,028080,4615.0,12577506.0,-23.79,0.26,2.17,14.89
1149,삼일,032280,2060.0,16213590.0,13.12,0.54,2.43,95.17
1150,뉴인텍,012340,1190.0,49125160.0,-5.43,3.06,0,68.31
1151,오스템,031510,6000.0,26000000.0,14.96,1.12,0.83,76.8
1152,C&S자산관리,032040,4375.0,7272390.0,-1.1,0.64,2.8,34.71
1153,에스마크,030270,626.0,94475570.0,-1.0,0.6,0,200.31
1154,엔에스엔,031860,2790.0,20588344.0,-3.27,2.1,0,47.35
1155,피에스케이,031980,23250.0,20331604.0,24.07,2.38,1.08,499.44
1156,세보엠이씨,011560,12800.0,10530000.0,9.5,1.1,1.56,175.77
1157,한일단조,024740,2360.0,17891328.0,11.24,0.4,2.12,35.7
1158,양지사,030960,8820.0,15980000.0,39.38,1.86,0.57,64.82
1159,원익홀딩스,030530,7090.0,77237981.0,2.45,0.9,0,102.78
1160,카테아,026260,438.0,83661092.0,-0.26,8.94,0,101.56
1161,한글과컴퓨터,030520,17250.0,23082211.0,26.7,2.37,1.16,281.47
1162,메이슨캐피탈,021880,615.0,91547748.0,-7.07,1.44,0,0
1163,대호피앤씨,021040,939.0,73112826.0,10.21,1.37,0,57.28
1164,바른테크놀로지,029480,1130.0,25812587.0,282.5,3.14,0,207.73
1165,미래SCI,028040,2095.0,20770521.0,-4.87,2.35,0,42.31
1166,에이치엘비,028300,47000.0,36387078.0,-127.03,18.9,0,150.79
1167,팜스토리,027710,1320.0,88347431.0,7.06,0.84,0,51.38
1168,삼보판지,023600,6810.0,14000000.0,3.08,0.36,0.73,70.32
1169,삼목에스폼,018310,11900.0,14700000.0,3.84,0.6,0.84,248.05
1170,에이스침대,003800,194300.0,2218000.0,14.22,1.0,1.7,261.4
1171,원익큐브,014190,2330.0,35399906.0,32.36,0.99,0,127.28
1172,리드코프,012700,5760.0,26749230.0,4.67,0.54,1.74,157.79
1173,유니슨,018000,4025.0,76102910.0,-8.39,12.58,0,24.24
1174,에머슨퍼시픽,025980,25500.0,16464183.0,15.34,1.32,0,108.0
1175,광진실업,026910,3275.0,6405405.0,-1091.67,0.74,0,116.29
1176,인터엠,017250,2775.0,21045467.0,28.32,0.7,4.32,104.61
1177,성우하이텍,015750,6040.0,60000000.0,10.92,0.39,3.31,77.75
1178,대신정보통신,020180,1325.0,38428915.0,30.81,2.15,1.13,108.71
1179,서부T&D,006730,12300.0,47169454.0,212.07,1.24,0.58,19.18
