,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억)
600,고려개발,004200,5630.0,21550000.0,-3.61,5.66,,52.12,6239.0,263.0
601,동부건설,005960,9750.0,20853553.0,1.55,0.81,,196.11,5855.0,161.0
602,KCTC,009070,2345.0,30000000.0,8.65,0.4,1.49,76.81,3498.0,137.0
603,코오롱글로벌,003070,10300.0,25210438.0,35.52,0.5,1.46,62.82,31851.0,607.0
604,빙그레,005180,63700.0,9851241.0,21.84,1.08,1.96,376.43,8132.0,372.0
605,녹십자홀딩스,005250,38900.0,47028210.0,40.86,2.29,0.77,125.41,13545.0,993.0
606,신한,005450,4950.0,7022839.0,-2.05,0.55,,156.72,58.0,91.0
607,조선내화,000480,85700.0,4000000.0,25.3,0.51,4.08,81.42,7145.0,360.0
608,현대약품,004310,5380.0,32000000.0,122.27,1.34,0.86,141.46,1200.0,23.0
609,남양유업,003920,686000.0,720000.0,16.36,0.65,0.15,357.71,12392.0,418.0
610,남선알미늄,008350,1005.0,110179090.0,5.43,0.91,0.0,73.73,4007.0,242.0
611,한국화장품제조,003350,52200.0,4532000.0,24.6,4.3,0.19,178.61,649.0,63.0
612,삼호,001880,14550.0,15179766.0,2.95,0.85,,224.43,9113.0,921.0
613,현대상사,011760,19800.0,13228966.0,32.89,0.59,2.53,82.52,35588.0,305.0
614,LS,006260,75800.0,32200000.0,14.51,0.86,1.65,89.06,96213.0,4592.0
615,SK네트웍스,001740,6290.0,248187647.0,-19.12,0.64,1.59,55.96,184574.0,1673.0
616,경농,002100,5670.0,21691750.0,18.84,0.59,4.67,35.77,2040.0,92.0
617,도레이케미칼,008000,19800.0,46363851.0,60.0,2.77,,39.44,8728.0,397.0
618,티웨이홀딩스,004870,3660.0,70959464.0,71.76,5.03,,63.48,4119.0,142.0
619,동방아그로,007590,7200.0,13617577.0,16.71,0.66,3.47,191.09,1158.0,61.0
620,송원산업,004430,24300.0,24000000.0,13.49,1.64,0.58,63.98,6943.0,764.0
621,진흥기업,002780,2065.0,145353082.0,-2.25,-16.93,,84.35,6466.0,595.0
622,한국석유,004090,93600.0,655200.0,5.12,0.43,1.6,114.18,4027.0,169.0
623,천일고속,000650,90500.0,1429220.0,51.74,3.32,8.84,151.48,584.0,11.0
624,대원강업,000430,3810.0,62000000.0,6.16,0.53,3.28,60.86,10761.0,597.0
625,만호제강,001080,18100.0,4150000.0,17.97,0.25,0.83,774.41,2142.0,29.0
626,조광피혁,004700,38500.0,6649138.0,11.83,0.69,0.26,261.5,1986.0,266.0
627,세방,004360,12900.0,19308690.0,7.06,0.4,1.36,193.86,6490.0,197.0
628,동양철관,008970,898.0,87236939.0,-5.1,0.95,,55.68,1293.0,120.0
629,대유에이텍,002880,1005.0,91872907.0,,0.92,1.49,56.71,10213.0,216.0
630,남광토건,001260,6220.0,9819185.0,-28.4,1.5,,96.14,1836.0,93.0
631,삼영전자,005680,12700.0,20000000.0,19.24,0.54,1.58,,2149.0,97.0
632,신영와코루,005800,140500.0,900000.0,7.3,0.42,1.78,482.54,1795.0,32.0
633,오리엔트바이오,002630,1180.0,163054656.0,-9.75,2.71,,85.95,1090.0,93.0
634,조비,001550,11900.0,5044441.0,55.61,1.39,,30.99,591.0,23.0
635,한국공항,005430,50700.0,3166355.0,9.21,0.55,0.99,327.66,4726.0,268.0
636,조광페인트,004910,9930.0,12800000.0,6.98,0.57,4.03,130.65,1887.0,167.0
637,삼천리,004690,119000.0,4055025.0,13.97,0.34,2.1,146.85,30633.0,606.0
638,성보화학,003080,5820.0,20020000.0,1.55,0.73,7.56,307.69,580.0,13.0
639,조흥,002600,275000.0,600000.0,20.32,1.46,1.82,162.44,1297.0,115.0
640,금양,001570,2835.0,42710111.0,-5.46,2.82,0.0,54.92,1687.0,121.0
641,사조대림,003960,23850.0,5960575.0,20.79,0.78,0.42,44.0,9535.0,364.0
642,남영비비안,002070,7100.0,6867945.0,-20.76,0.32,2.82,173.94,1981.0,21.0
643,S&T중공업,003570,7930.0,32473439.0,-10.55,0.37,2.52,218.65,4680.0,14.0
644,한신공영,004960,23200.0,10895933.0,8.75,0.9,1.08,73.24,17723.0,697.0
645,농심,004370,318000.0,6082642.0,9.71,1.03,1.26,161.6,22170.0,897.0
646,삼영화학,003720,1180.0,34000000.0,-5.73,0.5,,61.71,1136.0,64.0
647,성신양회,004980,5680.0,24008482.0,11.31,0.44,,44.94,6866.0,368.0
648,신라교역,004970,15400.0,16000000.0,8.89,0.54,1.62,442.58,3047.0,59.0
649,신풍제지,002870,789.0,34958700.0,20.76,0.53,,47.09,1286.0,20.0
650,종근당홀딩스,001630,76000.0,5009861.0,12.21,1.0,1.84,148.28,3357.0,231.0
651,크라운해태홀딩스,005740,14800.0,14847347.0,6.41,0.76,1.35,47.61,11888.0,659.0
652,한독,002390,39200.0,12594080.0,-76.56,1.74,0.32,88.62,3961.0,36.0
653,SG충방,001380,4110.0,44964143.0,-128.44,1.46,,42.26,1415.0,36.0
654,SK디스커버리,006120,45950.0,10784283.0,15.09,0.69,0.76,73.71,65261.0,2304.0
655,샘표,007540,32850.0,2875800.0,84.88,0.46,0.61,723.89,203.0,14.0
656,흥아해운,003280,709.0,127713430.0,-4.66,0.51,0.64,32.52,8317.0,59.0
657,GS글로벌,001250,3070.0,82533764.0,10.2,0.81,2.77,72.94,25538.0,364.0
658,금호산업,002990,9540.0,35849527.0,9.34,1.08,3.14,100.85,13537.0,418.0
659,삼부토건,001470,7620.0,18766750.0,0.15,0.34,,99.15,3903.0,351.0
