,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
502,화천기계,010660,21650.0,2200000.0,-19.01,0.35,1.62,179.66,1955.0,3.0,1.1586017749235762,1.8391656763259079
503,CJ씨푸드,011150,2885.0,35930773.0,19.36,1.89,,32.69,1737.0,59.0,,
504,신화실업,001770,16700.0,1214878.0,35.23,0.52,1.5,128.64,702.0,6.0,1.0160732006119213,1.6129156675280594
505,조일알미늄,018470,1130.0,69600000.0,2.37,0.4,1.33,89.74,2734.0,20.0,1.1217288563622998,1.7806335666125999
506,에스엘,005850,23850.0,33865090.0,7.41,0.9,1.09,127.84,16192.0,993.0,0.8831314360349325,1.4018837705880385
507,영원무역홀딩스,009970,57400.0,13635592.0,11.31,0.78,0.87,163.58,23380.0,2010.0,0.9349176040025511,1.4840891880972382
508,더존비즈온,012510,39550.0,29672700.0,41.68,7.7,0.73,206.72,1768.0,384.0,0.4441756718468043,0.7050849287482989
509,보령제약,003850,55700.0,8840000.0,87.72,2.42,0.34,84.2,4091.0,220.0,0.6245001728688411,0.9913322313663206
510,암니스,007630,21250.0,24274822.0,-16.89,31.48,,48.71,299.0,56.0,,
511,이건산업,008250,8870.0,9373525.0,130.44,0.52,1.69,41.55,2903.0,178.0,1.015673786216413,1.6122816366964579
512,모나리자,012690,5160.0,36571255.0,34.63,2.75,1.45,285.44,1214.0,76.0,0.6149712365161376,0.9762059877759012
513,대구백화점,006370,11800.0,10821611.0,-15.61,0.25,2.12,45.32,1373.0,84.0,1.2870966514030018,2.043138578421872
514,우성사료,006980,2950.0,30900000.0,101.72,0.46,0.85,152.67,2757.0,11.0,1.036235583021259,1.644921454574827
515,유성기업,002920,3570.0,25947500.0,10.56,0.35,3.36,341.44,2578.0,65.0,1.205943945022224,1.9143166869429586
516,한일철강,002220,27100.0,2040000.0,10.41,0.32,1.29,44.96,2597.0,134.0,1.1631903905027856,1.8464496495234224
517,삼익악기,002450,2755.0,90530915.0,36.73,0.97,1.82,72.6,2086.0,134.0,0.8342005802111164,1.3242108785796085
518,화성산업,002460,14850.0,12450800.0,5.49,0.58,4.58,173.54,4943.0,439.0,1.0495562533872382,1.6660667007267038
519,디티알오토모티브,007340,32450.0,9994005.0,9.62,0.87,1.08,112.89,9590.0,922.0,0.8953254683140417,1.4212405902556307
