,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
1200,흥구석유,24060,2760,15000000,19.03,0.58,3.62,341.54
1201,대한약품,23910,42350,6000000,14.39,2.73,0.52,126.67
1202,아트라스BX,23890,49000,9150000,8.84,0.85,0.61,160.6
1203,이화공영,1840,4530,19805760,63.8,2.13,0.77,170.17
1204,풍국주정,23900,14850,12600000,20.83,1.75,1.53,312.05
1205,대림제지,17650,1040,45000000,2.76,0.47,0,423.05
1206,대한광통신,10170,7490,59741625,-27.95,5.82,0,88.86
1207,동일철강,23790,3800,7345085,-26.95,0.53,0,27.32
1208,플레이위드,23770,7570,3075469,11,2.14,0,13.18
1209,한국캐피탈,23760,633,168209576,10.21,0.53,3.16,0
1210,한일사료,5860,1985,39403685,31.02,1.21,1.26,51.49
1211,서연전자,12860,2255,27000000,3.81,0.35,2.22,62.97
1212,CNH,23460,1315,37200000,15.47,0.47,1.9,0
1213,국영지앤엠,6050,1175,34895243,106.82,0.77,0,218.22
1214,유진기업,23410,4840,75501370,5.94,0.52,3.1,52.36
1215,제일제강,23440,1120,26032185,-24.35,0.51,0,80.39
1216,보성파워텍,6910,2715,45854719,246.82,1.32,0,198.01
1217,지엠피,18290,3770,21478034,-3.46,1.97,0,50.95
1218,태광,23160,13300,26500000,44.48,0.79,0.38,669.57
1219,영신금속,7530,4550,6292968,26.15,0.79,0.88,37.72
1220,신라섬유,1000,2800,24277540,254.55,4.97,0,1.87
1221,원일특강,12620,9830,4400000,8.3,0.45,0.81,170.08
1222,서한,11370,2390,100894865,3.73,1.14,1.25,124.14
1223,바른손,18700,4180,13903900,-144.14,1.49,0,497.65
1224,부방,14470,3070,47293490,16.24,0.8,0,121.78
1225,대명코퍼레이션,7720,3130,100800450,-208.67,3.24,0,434.09
1226,대양제지,6580,1720,26850000,14.1,0.44,0,51.74
1227,유니크,11320,7140,19320695,17.54,1.52,1.26,75.28
1228,진로발효,18120,34050,7524000,14.28,3.06,3.55,451.34
1229,청보산업,13720,2720,8178771,80,0.99,0.92,112.95
1230,삼보산업,9620,7750,4125000,-3.49,0.94,0,38.9
1231,푸드웰,5670,4955,8000000,25.81,0.91,1.51,36.86
1232,푸른저축은행,7330,6990,15082800,4.05,0.39,7.15,0
1233,피제이전자,6140,7590,10000000,9.83,0.78,3.19,220.89
1234,그랜드백화점,19010,11700,4820000,4.17,0.22,2.56,45.73
1235,엠에스씨,9780,10100,8800000,8.96,1.49,0.59,50.79
1236,데코앤이,17680,575,91826074,-4.46,1.2,0,99.92
1237,행남자기,8800,371,113863050,-1.3,1.3,0,102.99
1238,대동금속,20400,39850,480000,-75.47,0.73,0.63,46.31
1239,광림,14200,3510,48498486,-85.61,1.72,0,58.22
1240,대원산업,5710,7800,20037600,3.65,0.71,1.17,150.57
1241,큐캐피탈,16600,1105,134101053,38.1,1.63,0,0
1242,한국가구,4590,34500,1500000,9.01,0.63,2.75,217.52
1243,포비스티앤씨,16670,1810,40078058,32.32,1.26,0,238.8
1244,중앙에너비스,440,28300,1245426,33.33,0.57,2.83,45.2
1245,삼륭물산,14970,4935,15125000,8.01,1.11,1.01,69.29
1246,경동제약,11040,23450,13275000,17.68,1.31,2.98,325.83
1247,원풍,8370,3920,12000000,8.87,0.63,3.95,331.48
1248,네이처셀,7390,22150,51750851,-346.09,33.06,0,104.71
1249,삼일기업공사,2290,2790,12400000,49.82,0.66,3.23,594.88
1250,일지테크,19540,4395,13513500,3.14,0.47,3.41,41.81
1251,한일화학,7770,11850,3510000,13.08,0.47,1.27,165.68
1252,한국알콜,17890,7330,21605760,5.26,0.63,0.68,200.63
1253,대주산업,3310,2200,35392350,40,1.61,1.14,88.25
1254,글로본,19660,2950,28001047,-13.35,2.72,0,0
1255,세명전기,17510,6310,15246000,30.48,1.52,1.27,597.58
1256,에이티넘인베스트,21080,4875,48000000,43.14,3.62,0.72,0
1257,대동기어,8830,21900,898752,-6.41,0.33,0.91,49.64
1258,피에스텍,2230,5220,19669243,22.03,0.74,1.44,0
1259,코센,9730,1360,40098335,-5.55,2.14,0,98.31
1260,카스,16920,1470,21474112,-9.13,0.79,1.55,63.05
1261,하이록코리아,13030,26450,13613232,11.92,1.18,1.51,500.22
1262,SBI인베스트먼트,19550,1645,162066575,86.58,3.15,0,0
1263,엠벤처투자,19590,477,110405559,-5.3,1.88,0,0
1264,제미니투자,19570,685,40000000,45.67,1.75,0,0
1265,모헨즈,6920,5940,10920000,52.11,3.45,0,78.25
