,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
600,고려개발,004200,5700.0,21550000.0,-3.66,5.73,0,52.12
601,동부건설,005960,9930.0,20853553.0,1.58,0.83,0,196.11
602,KCTC,009070,2480.0,30000000.0,9.15,0.42,1.41,76.81
603,코오롱글로벌,003070,10500.0,25210438.0,36.21,0.51,1.43,62.82
604,빙그레,005180,64300.0,9851241.0,22.05,1.09,1.94,376.43
605,녹십자홀딩스,005250,37150.0,47028210.0,39.02,2.19,0.81,125.41
606,신한,005450,5110.0,7022839.0,-2.11,0.56,0,156.72
607,조선내화,000480,85000.0,4000000.0,25.09,0.51,4.12,81.42
608,현대약품,004310,5330.0,32000000.0,121.14,1.33,0.87,141.46
609,남양유업,003920,679000.0,720000.0,16.19,0.65,0.15,357.71
610,남선알미늄,008350,1015.0,110179090.0,5.49,0.92,0.0,73.73
611,한국화장품제조,003350,52500.0,4532000.0,24.74,4.32,0.19,178.61
612,삼호,001880,14950.0,15179766.0,3.03,0.88,0,224.43
613,현대상사,011760,20100.0,13228966.0,33.39,0.6,2.49,82.52
614,LS,006260,78300.0,32200000.0,14.99,0.89,1.6,89.06
615,SK네트웍스,001740,6530.0,248187647.0,-19.85,0.67,1.53,55.96
616,경농,002100,5770.0,21691750.0,19.17,0.6,4.59,35.77
617,도레이케미칼,008000,19700.0,46363851.0,59.7,2.76,0,39.44
618,티웨이홀딩스,004870,3540.0,70959464.0,69.41,4.87,0,63.48
619,동방아그로,007590,7150.0,13617577.0,16.59,0.66,3.5,191.09
620,송원산업,004430,26150.0,24000000.0,14.51,1.76,0.54,63.98
621,진흥기업,002780,2005.0,145353082.0,-2.19,-16.43,0,84.35
622,한국석유,004090,96400.0,655200.0,5.27,0.45,1.56,114.18
623,천일고속,000650,90900.0,1429220.0,51.97,3.34,8.8,151.48
624,대원강업,000430,3910.0,62000000.0,6.32,0.54,3.2,60.86
625,만호제강,001080,18100.0,4150000.0,17.97,0.25,0.83,774.41
626,조광피혁,004700,39050.0,6649138.0,12.0,0.7,0.26,261.5
627,세방,004360,12650.0,19308690.0,6.92,0.39,1.38,193.86
628,동양철관,008970,914.0,87236939.0,-5.19,0.97,0,55.68
629,대유에이텍,002880,1030.0,91872907.0,0,0.94,1.46,56.71
630,남광토건,001260,6300.0,9819185.0,-28.77,1.52,0,96.14
631,삼영전자,005680,12800.0,20000000.0,19.39,0.55,1.56,0
632,신영와코루,005800,149500.0,900000.0,7.76,0.45,1.67,482.54
633,오리엔트바이오,002630,1150.0,163054656.0,-9.5,2.64,0,85.95
634,조비,001550,12100.0,5044441.0,56.54,1.41,0,30.99
635,한국공항,005430,54000.0,3166355.0,9.81,0.59,0.93,327.66
636,조광페인트,004910,9970.0,12800000.0,7.01,0.57,4.01,130.65
637,삼천리,004690,120000.0,4055025.0,14.09,0.35,2.08,146.85
638,성보화학,003080,5860.0,20020000.0,1.56,0.73,7.51,307.69
639,조흥,002600,271500.0,600000.0,20.06,1.44,1.84,162.44
640,금양,001570,2545.0,42710111.0,-4.9,2.53,0.0,54.92
641,사조대림,003960,23350.0,5960575.0,20.36,0.76,0.43,44.0
642,남영비비안,002070,7230.0,6867945.0,-21.14,0.33,2.77,173.94
643,S&T중공업,003570,7850.0,32473439.0,-10.44,0.36,2.55,218.65
644,한신공영,004960,23350.0,10895933.0,8.8,0.9,1.07,73.24
645,농심,004370,336000.0,6082642.0,10.26,1.09,1.19,161.6
646,삼영화학,003720,1145.0,34000000.0,-5.56,0.48,0,61.71
647,성신양회,004980,5820.0,24008482.0,11.59,0.46,0,44.94
648,신라교역,004970,15500.0,16000000.0,8.94,0.54,1.61,442.58
649,신풍제지,002870,805.0,34958700.0,21.18,0.54,0,47.09
650,종근당홀딩스,001630,73400.0,5009861.0,11.79,0.96,1.91,148.28
651,크라운해태홀딩스,005740,14700.0,14847347.0,6.37,0.75,1.36,47.61
652,한독,002390,35150.0,12594080.0,-68.65,1.56,0.36,88.62
653,SG충방,001380,3960.0,44964143.0,-123.75,1.4,0,42.26
654,SK디스커버리,006120,50300.0,10784283.0,16.51,0.76,0.7,73.71
655,샘표,007540,31650.0,2875800.0,81.78,0.44,0.63,723.89
656,흥아해운,003280,755.0,127713430.0,-4.84,0.53,0.62,32.52
657,GS글로벌,001250,2955.0,82533764.0,9.82,0.78,2.88,72.94
658,금호산업,002990,9720.0,35849527.0,9.52,1.1,3.09,100.85
659,삼부토건,001470,7850.0,18766750.0,0.16,0.35,0,99.15
660,삼화콘덴서,001820,40300.0,10395000.0,74.77,7.87,0.12,87.28
661,페이퍼코리아,001020,1305.0,54216657.0,-0.76,0.3,0,33.85
662,동양,001520,1910.0,238684063.0,18.73,0.47,2.62,479.67
663,한화,000880,46000.0,74958735.0,7.56,0.96,1.3,69.81
664,JW중외제약,001060,47650.0,19151237.0,-88.57,3.71,0.5,126.0
665,영풍,000670,1137000.0,1842040.0,12.9,0.72,0.88,130.16
666,백광산업,001340,2650.0,44918407.0,50.0,0.87,0.48,21.28
667,성창기업지주,000180,2615.0,69751600.0,8.63,0.36,0.38,111.41
668,한창,005110,1690.0,34458589.0,13.74,1.4,1.24,140.39
669,삼화왕관,004450,51500.0,2154379.0,11.19,0.74,2.62,233.65
670,KR모터스,000040,325.0,188265520.0,-5.7,0.97,0,70.0
671,고려제강,002240,32950.0,18000000.0,16.07,0.47,0.96,88.45
672,태양금속,004100,1795.0,36700000.0,7.45,0.65,1.11,65.76
673,선창산업,002820,7860.0,12607989.0,11.51,0.34,2.61,97.15
674,DRB동일,004840,7660.0,19000000.0,3.79,0.43,0.99,123.76
675,넥센타이어,002350,12150.0,97667877.0,7.19,1.03,0.82,106.5
676,SG세계물산,004060,944.0,202424960.0,-49.68,0.96,0,60.94
677,롯데정밀화학,004000,66800.0,25800000.0,-39.57,1.53,0.45,213.22
678,동화약품,000020,9840.0,27931470.0,10.47,1.08,1.12,225.27
