,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
1081,제이에스티나,026040,5700.0,16503790.0,27.54,1.1,1.75,134.8
1082,한국팩키지,037230,2425.0,25000000.0,19.72,1.52,1.24,234.67
1083,삼지전자,037460,11550.0,16318522.0,8.33,1.22,0,93.08
1084,우리조명,037400,1690.0,24923346.0,-2.38,0.51,0,74.51
1085,SK머티리얼즈,036490,152100.0,10547673.0,14.77,3.8,2.33,50.42
1086,네패스,033640,10000.0,21978155.0,11.83,1.64,0.5,71.48
1087,인지디스플레,037330,1750.0,35603146.0,11.36,0.43,2.86,121.64
1088,위지트,036090,2135.0,72749313.0,30.5,2.88,0,348.42
1089,유니셈,036200,6280.0,30664223.0,29.9,2.71,0.64,194.76
1090,유성티엔에스,024800,3885.0,22723235.0,9.14,0.56,0.26,78.06
1091,이매진아시아,036260,1835.0,35125101.0,-10.49,1.35,0,376.68
1092,코리아나,027050,6790.0,40000000.0,66.57,2.65,0.74,109.37
1093,SCI평가정보,036120,4830.0,35500000.0,-483.0,12.2,0,258.54
1094,더블유에프엠,035290,5000.0,22173875.0,250.0,7.02,0,182.61
1095,서울전자통신,027040,1345.0,64764286.0,11.21,2.25,0,68.51
1096,대성창투,027830,4200.0,40000000.0,72.41,3.34,0.71,0
1097,예림당,036000,8910.0,23034277.0,38.08,2.26,0,70.31
1098,CJ오쇼핑,035760,225000.0,6215518.0,59.7,1.48,1.11,61.62
1099,이지바이오,035810,7000.0,56190905.0,16.02,1.18,0.71,46.96
