,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
939,액토즈소프트,052790,18900.0,11330638.0,-102.16,1.83,0,263.15
940,세코닉스,053450,13650.0,10925918.0,16.71,1.11,1.42,55.87
941,바이넥스,053030,10250.0,31308448.0,-106.77,2.24,0,154.18
942,오성엘에스티,052420,715.0,204144157.0,-3.61,2.45,0,258.42
943,태양,053620,11800.0,8600000.0,7.9,0.65,1.61,215.2
944,W홀딩컴퍼니,052300,604.0,118983162.0,6.29,0.85,0,45.7
945,에임하이,043580,3190.0,65262623.0,-6.35,3.13,0,147.02
946,유아이엘,049520,6150.0,21784936.0,8.45,0.79,5.69,203.92
947,넥스트바이오홀딩스,051980,860.0,20486627.0,-4.53,1.38,0,126.6
948,대원미디어,048910,8110.0,12578946.0,-93.22,1.72,0,293.35
949,CJ프레시웨이,051500,34200.0,11871586.0,-87.02,2.13,0.58,65.65
950,파인디앤씨,049120,3950.0,22207425.0,-14.52,1.33,0.63,67.55
951,디지아이,043360,3095.0,9000000.0,-12.48,0.57,1.62,856.68
952,코텍,052330,14850.0,15574552.0,6.13,0.91,2.02,546.77
953,한네트,052600,3485.0,11563700.0,16.92,1.09,3.44,220.39
954,에스티큐브,052020,6470.0,26607740.0,-26.3,5.67,0,370.48
955,에이치엘비파워,043220,1225.0,50947321.0,-3.9,2.17,0,102.25
956,스카이문스테크놀로지,033790,4275.0,17117100.0,-23.49,2.13,0,468.81
957,큐로홀딩스,051780,997.0,60193222.0,-4.3,1.12,0,51.0
958,이에스에이,052190,3645.0,11898824.0,-3.3,1.97,0,45.86
959,나라엠앤디,051490,4190.0,14200000.0,23.67,0.76,2.39,68.27
960,트레이스,052290,2080.0,53442741.0,-13.0,2.44,0,92.13
961,에코바이오,038870,9220.0,10716941.0,-11.45,1.33,0,312.12
962,에이텍,045660,11250.0,8260000.0,12.6,1.74,0.89,172.93
963,SK바이오랜드,052260,21000.0,15000000.0,25.36,2.41,1.19,328.2
964,대아티아이,045390,1835.0,71151522.0,12.32,1.61,0,227.84
965,캠시스,050110,2670.0,57771777.0,-4.77,1.6,0,58.84
966,SFA반도체,036540,2315.0,141076607.0,46.3,1.28,0,135.69
967,삼표시멘트,038500,3110.0,107357173.0,6.65,0.56,0,84.2
968,SM C&C,048550,2660.0,94041026.0,-380.0,3.3,0,224.15
969,승일,049830,9350.0,6132112.0,18.05,0.42,0.91,181.19
970,조광ILI,044060,4880.0,9885656.0,12.23,0.99,1.64,251.09
971,피에스엠씨,024850,736.0,38726201.0,-16.0,1.46,0,115.34
972,TPC,048770,6240.0,12900000.0,-17.24,5.04,0.4,72.0
973,코메론,049430,9280.0,9048000.0,6.59,0.73,1.72,365.15
974,로엔,016170,106700.0,25291705.0,43.08,9.21,0.94,232.09
975,삼화네트웍스,046390,1430.0,42857933.0,7.9,1.49,0,908.48
976,성광벤드,014620,11400.0,28600000.0,71.7,0.68,1.32,338.33
977,유니더스,044480,7490.0,8600000.0,-60.4,2.86,0,437.63
978,유라테크,048430,8110.0,11520000.0,9.54,0.91,1.66,193.85
979,삼현철강,017480,4085.0,15702890.0,6.62,0.46,3.67,546.66
980,오픈베이스,049480,3520.0,31422383.0,20.0,1.93,0.71,111.3
981,KCI,036670,8370.0,11270000.0,14.02,1.92,2.15,109.38
982,라온시큐어,042510,3320.0,31809612.0,61.48,8.51,0,276.47
983,오로라,039830,10850.0,10762890.0,17.36,1.25,0.92,57.83
984,금화피에스시,036190,41800.0,6000000.0,10.49,1.49,2.15,354.14
985,코다코,046070,2705.0,39064256.0,9.3,0.92,1.85,67.87
986,인바디,041830,39350.0,13683782.0,31.71,5.8,0.25,0
987,고려제약,014570,7400.0,11000000.0,16.12,1.5,1.35,455.63
988,크린앤사이언스,045520,17650.0,6500000.0,31.92,4.11,0,186.9
989,포스코 ICT,022100,8220.0,152034729.0,33.83,3.33,0.61,151.15
990,이젠텍,033600,3505.0,11500000.0,-3.31,1.9,0,21.37
991,KD건설,044180,172.0,355691714.0,86.0,1.2,0,191.68
992,이-글 벳,044960,5200.0,11668434.0,27.23,1.89,0.38,97.84
993,아즈텍WB,032080,2015.0,20916684.0,8.84,0.46,2.48,794.75
994,오리콤,010470,4940.0,11498750.0,14.07,0.79,4.45,104.36
995,위닉스,044340,16400.0,16358641.0,-19.32,2.74,0.31,46.21
996,포워드컴퍼니스,042940,1270.0,32292548.0,-2.16,7.22,0,92.22
997,엔피케이,048830,2225.0,18723923.0,17.25,1.03,1.21,115.87
998,삼천당제약,000250,22850.0,22105813.0,56.0,3.89,0.22,372.64
999,에이치케이,044780,1665.0,18425787.0,19.82,0.67,0,103.08
