,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%)
900,성우테크론,045300,4150.0,8800586.0,10.92,1.0,0,107.51
901,에스에프에이,056190,38150.0,35908760.0,17.51,2.37,1.47,171.03
902,신화인터텍,056700,2335.0,29135091.0,17.43,0.69,2.14,50.14
903,엑사이엔씨,054940,1360.0,33173548.0,17.22,0.74,0,125.9
904,평화정공,043370,10250.0,21000000.0,4.04,0.45,1.46,90.59
905,APS홀딩스,054620,7680.0,11930928.0,7.47,0.99,0,109.94
906,코위버,056360,8940.0,9796800.0,13.22,0.95,0.78,248.99
907,성호전자,043260,960.0,29506142.0,40.0,0.67,0,52.57
908,UCI,038340,3600.0,11486547.0,-2.84,2.71,0,120.59
909,레이젠,047440,948.0,27918129.0,-0.99,0.43,0,69.87
910,YW,051390,3970.0,11355368.0,17.49,0.55,2.52,0
911,삼영엠텍,054540,4230.0,13000000.0,20.34,0.72,2.13,142.91
912,이니텍,053350,7550.0,19790916.0,14.69,1.18,0,161.09
913,에이디칩스,054630,2770.0,24692169.0,18.47,3.71,0,81.54
914,유진로봇,056080,5590.0,37111093.0,-28.52,5.59,0,71.74
915,태웅,044490,21600.0,20007381.0,28.27,0.68,0,265.25
916,경남제약,053950,13250.0,11248376.0,1104.17,8.86,0,88.04
917,삼보모터스,053700,7770.0,14249335.0,6.16,0.54,0.87,39.61
918,포스코켐텍,003670,39900.0,59070000.0,53.92,4.19,0.75,301.41
919,한컴시큐어,054920,3790.0,12583016.0,-421.11,0.94,0,21.09
920,코미팜,041960,37850.0,55080467.0,7570.0,22.1,0,111.15
921,프리엠스,053160,9160.0,6000000.0,33.43,1.15,0.55,847.68
922,썬코어,051170,1360.0,38868605.0,-1.45,3.01,0,28.41
923,코나아이,052400,11700.0,15559118.0,-150.0,0.95,2.78,184.45
924,중앙오션,054180,2045.0,22334576.0,-7.81,2.34,0,42.94
925,SGA,049470,942.0,89935452.0,0,1.28,0,160.02
926,지에스이,053050,1615.0,29987597.0,7.92,0.76,3.71,72.56
927,팜스웰바이오,043090,6450.0,25024595.0,-36.03,15.28,0,141.09
928,소리바다,053110,2075.0,53326454.0,-8.47,4.17,0,113.88
929,아이디스홀딩스,054800,15450.0,10347756.0,95.37,0.79,0.97,542.94
930,코데즈컴바인,047770,3020.0,37842602.0,77.44,4.47,0,160.29
931,안랩,053800,54200.0,10013855.0,37.12,2.74,1.29,318.19
932,YTN,040300,2040.0,42000000.0,25.19,0.47,0.74,78.51
933,CMG제약,058820,6850.0,108887244.0,380.56,7.37,0,792.17
934,JYP Ent.,035900,13450.0,34622921.0,54.67,6.33,0,229.73
935,한국테크놀로지,053590,2705.0,45756491.0,-9.33,4.18,0,183.11
936,KCC건설,021320,8340.0,21400000.0,10.72,0.58,1.2,100.1
937,세동,053060,949.0,19668840.0,-5.79,0.77,0,38.66
938,프로텍,053610,21650.0,9460203.0,15.02,1.6,0.69,200.8
