,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억)
1050,대성미생물,036480,105500.0,380000.0,8.92,1.38,0.95,297.6,308.0,49.0
1051,에코플라스틱,038110,2070.0,22696398.0,10.84,0.36,0.97,39.68,10931.0,84.0
1052,제이콘텐트리,036420,6080.0,114068982.0,35.98,8.15,,34.28,3352.0,289.0
1053,케이엠더블유,032500,26600.0,16100000.0,109.02,8.18,,43.91,2105.0,145.0
1054,화성밸브,039610,5210.0,7280000.0,19.44,0.63,0.96,158.22,547.0,28.0
1055,경남스틸,039240,9920.0,5000000.0,59.05,0.64,1.51,118.78,2655.0,18.0
1056,마크로젠,038290,45650.0,9664248.0,94.71,4.91,,127.96,911.0,31.0
1057,희림,037440,4595.0,13922475.0,29.84,1.21,2.18,126.58,1398.0,54.0
1058,레드캡투어,038390,15400.0,8589480.0,11.61,0.93,3.9,31.58,2340.0,206.0
1059,GS홈쇼핑,028150,223500.0,6562500.0,13.87,1.4,3.13,221.06,10978.0,1264.0
1060,솔브레인,036830,65400.0,17398271.0,14.49,1.89,0.93,102.97,7225.0,1051.0
1061,에프에스티,036810,6500.0,19465373.0,21.24,1.57,1.23,91.12,1123.0,97.0
1062,코맥스,036690,7610.0,14004084.0,12.2,1.88,0.63,116.02,1318.0,116.0
1063,EG,037370,11400.0,7500000.0,98.28,1.63,0.44,101.77,1468.0,9.0
1064,버추얼텍,036620,2260.0,27746496.0,4.3,3.38,,37.54,120.0,11.0
1065,성도이엔지,037350,6530.0,15470000.0,4.35,0.56,1.53,132.1,4256.0,263.0
1066,제일테크노스,038010,3595.0,9000000.0,14.5,0.47,1.67,53.64,1446.0,45.0
1067,무림SP,001810,2750.0,22137500.0,23.5,0.33,1.09,102.02,2071.0,99.0
1068,세종텔레콤,036630,674.0,600326126.0,-134.8,1.6,,152.05,1841.0,8.0
1069,심텍홀딩스,036710,2260.0,34895833.0,11.89,0.7,,29.91,7900.0,313.0
1070,파세코,037070,5540.0,14000000.0,27.29,1.15,3.4,73.96,1020.0,30.0
1071,영풍정밀,036560,8510.0,15750000.0,19.04,0.45,2.12,317.26,606.0,44.0
1072,이테크건설,016250,130800.0,2800000.0,10.17,1.52,0.57,55.04,11916.0,900.0
1073,KTH,036030,6840.0,35715022.0,57.0,1.21,,343.53,1987.0,63.0
1074,서희건설,035890,1200.0,173467745.0,7.1,0.86,0.83,116.55,10737.0,823.0
1075,주성엔지니어링,036930,13000.0,48249212.0,19.23,4.25,,103.25,2680.0,377.0
1076,다우데이타,032190,12100.0,38300000.0,20.47,1.07,0.83,232.93,13784.0,2642.0
1077,동진쎄미켐,005290,17800.0,51414494.0,32.36,4.44,0.34,49.56,7650.0,454.0
1078,선광,003100,18350.0,6600000.0,5.89,0.39,2.18,126.54,1280.0,133.0
1079,씨티엘,036170,3505.0,26254825.0,140.2,1.26,,812.46,177.0,11.0
1080,영인프런티어,036180,5720.0,17600341.0,72.41,4.67,,283.39,288.0,11.0
1081,제이에스티나,026040,5620.0,16503790.0,27.15,1.08,1.78,134.8,1703.0,79.0
1082,한국팩키지,037230,2515.0,25000000.0,20.45,1.58,1.19,234.67,591.0,40.0
1083,삼지전자,037460,14700.0,16318522.0,10.6,1.56,,93.08,11016.0,303.0
1084,우리조명,037400,1660.0,24923346.0,-2.34,0.5,,74.51,15639.0,115.0
1085,SK머티리얼즈,036490,167000.0,10547673.0,16.22,4.18,2.13,50.42,4614.0,1541.0
1086,네패스,033640,10450.0,21978155.0,12.37,1.71,0.48,71.48,2545.0,82.0
1087,인지디스플레,037330,1720.0,35603146.0,11.17,0.42,2.91,121.64,3898.0,106.0
1088,위지트,036090,1710.0,72749313.0,24.43,2.3,,348.42,322.0,41.0
1089,유니셈,036200,6770.0,30664223.0,32.24,2.92,0.59,194.76,1154.0,89.0
1090,유성티엔에스,024800,3800.0,22723235.0,8.94,0.55,0.26,78.06,4407.0,161.0
1091,이매진아시아,036260,1950.0,35125101.0,-11.14,1.43,,376.68,321.0,38.0
1092,코리아나,027050,7060.0,40000000.0,69.22,2.76,0.71,109.37,1240.0,40.0
1093,SCI평가정보,036120,4065.0,35500000.0,-406.5,10.27,,258.54,353.0,2.0
1094,더블유에프엠,035290,4710.0,22173875.0,235.5,6.62,,182.61,159.0,4.0
1095,서울전자통신,027040,1345.0,64764286.0,11.21,2.25,,68.51,891.0,27.0
1096,대성창투,027830,2890.0,40000000.0,49.83,2.3,1.04,,103.0,28.0
1097,예림당,036000,9140.0,23034277.0,39.06,2.32,,70.31,4528.0,192.0
1098,CJ오쇼핑,035760,237500.0,6215518.0,63.01,1.56,1.05,61.62,22086.0,1789.0
1099,이지바이오,035810,7970.0,56190905.0,18.24,1.35,0.63,46.96,14014.0,790.0
1100,기산텔레콤,035460,3030.0,14577340.0,-17.72,1.19,,149.19,592.0,29.0
1101,마제스타,035480,1475.0,45529070.0,-2.14,1.18,,163.02,244.0,189.0
1102,바른손이앤에이,035620,1840.0,67865702.0,4.32,3.74,,178.81,417.0,150.0
1103,솔본,035610,6170.0,27345997.0,440.71,1.23,,403.81,790.0,13.0
1104,시공테크,020710,7700.0,20047970.0,-22.85,1.93,,189.59,808.0,86.0
1105,신일제약,012790,12500.0,7900000.0,9.83,1.08,1.12,584.47,502.0,113.0
1106,조아제약,034940,5270.0,28310231.0,878.33,3.12,,154.02,556.0,
1107,인성정보,033230,5470.0,19158271.0,82.88,2.62,,96.14,2527.0,50.0
1108,인터파크홀딩스,035080,3730.0,58500000.0,-3.61,0.55,1.34,113.17,38458.0,495.0
1109,동국산업,005160,3840.0,54244482.0,8.48,0.55,3.91,97.33,7549.0,505.0
1110,매일홀딩스,005990,15250.0,13718304.0,5.15,0.48,1.64,116.03,16347.0,526.0
1111,해성산업,034810,16250.0,9780000.0,25.31,1.13,0.77,262.27,121.0,24.0
1112,녹십자셀,031390,51600.0,11695939.0,-6450.0,15.38,0.1,170.27,285.0,8.0
1113,디에스티,033430,5030.0,9248139.0,-1.8,3.27,,59.45,312.0,
1114,한국정보통신,025770,12300.0,38812743.0,17.06,3.25,,183.38,3364.0,362.0
1115,파라텍,033540,4405.0,16671620.0,21.18,0.98,0.76,162.84,2269.0,55.0
1116,동성화인텍,033500,6360.0,26983609.0,17.57,1.42,2.04,73.71,3350.0,133.0
1117,드래곤플라이,030350,4370.0,14847079.0,-208.1,1.97,,23.35,109.0,16.0
1118,디케이디앤아이,033310,1900.0,21972411.0,8.96,0.88,2.63,68.65,497.0,32.0
1119,엠케이전자,033160,11800.0,21807689.0,11.57,0.99,0.68,184.65,6196.0,1255.0
1120,제이씨현시스템,033320,9480.0,19114432.0,41.76,2.71,0.26,180.74,1898.0,77.0
1121,포스코엠텍,009520,2385.0,41642703.0,31.8,1.29,1.05,112.28,2665.0,140.0
1122,스페코,013810,3955.0,14655470.0,12.84,1.32,1.26,89.32,843.0,54.0
1123,좋은사람들,033340,2135.0,26412536.0,-13.51,0.67,,178.51,1266.0,42.0
1124,모아텍,033200,5250.0,14331185.0,-17.5,0.66,,562.79,137.0,4.0
1125,코웰패션,033290,5320.0,90500234.0,24.74,3.71,,115.18,2497.0,345.0
1126,코콤,015710,7550.0,17530500.0,18.33,1.33,1.99,169.06,1139.0,88.0
1127,이디,033110,2290.0,54241337.0,-25.73,3.55,,80.15,349.0,67.0
1128,제룡전기,033100,7290.0,16062409.0,-43.39,2.32,0.69,218.58,399.0,43.0
1129,제이엠아이,033050,1105.0,32579342.0,-29.86,0.75,,94.46,1117.0,39.0
1130,디지틀조선,033130,2195.0,37115267.0,17.56,1.24,1.82,714.85,391.0,46.0
1131,바이온,032980,2270.0,36310552.0,-24.95,2.24,,70.74,279.0,10.0
1132,와이지-원,019210,17750.0,30093322.0,27.82,1.91,0.96,47.75,3347.0,418.0
1133,특수건설,026150,3990.0,9994814.0,-5.75,0.62,,138.65,1381.0,7.0
1134,하림홀딩스,024660,3785.0,89157190.0,10.34,0.89,1.32,69.11,9982.0,1123.0
1135,아이즈비전,031310,2905.0,15772574.0,11.39,0.62,2.24,203.66,1598.0,45.0
1136,동일기연,032960,12950.0,5960348.0,14.05,0.9,0.25,619.12,283.0,11.0
1137,소프트센,032680,2050.0,30780260.0,-70.69,2.0,,133.36,1157.0,11.0
1138,원익,032940,5950.0,12634432.0,0.91,0.61,,42.71,648.0,24.0
1139,원풍물산,008290,3465.0,38391781.0,-203.82,4.39,,59.2,464.0,3.0
1140,삼진,032750,10700.0,6000000.0,11.09,1.02,1.12,197.29,982.0,42.0
1141,GMR 머티리얼즈,032860,517.0,67558840.0,-4.17,1.39,,94.1,669.0,13.0
1142,비트컴퓨터,032850,6440.0,16623293.0,19.82,2.57,1.13,268.36,355.0,51.0
1143,엠젠플러스,032790,8570.0,14571042.0,-15.96,8.93,,81.37,524.0,13.0
1144,판타지오,032800,1205.0,72703943.0,-19.13,2.34,,44.73,217.0,36.0
1145,유비케어,032620,4400.0,40286470.0,34.92,3.75,0.68,297.72,682.0,63.0
1146,피델릭스,032580,1905.0,20567273.0,-4.25,1.63,1.58,71.83,565.0,33.0
1147,TJ미디어,032540,4670.0,13931609.0,75.32,0.81,1.28,255.37,779.0,3.0
1148,휴맥스홀딩스,028080,4560.0,12577506.0,-23.51,0.26,2.19,14.89,56.0,35.0
1149,삼일,032280,2050.0,16213590.0,13.06,0.53,2.44,95.17,925.0,28.0
1150,뉴인텍,012340,1140.0,49125160.0,-5.21,2.93,,68.31,479.0,93.0
1151,오스템,031510,6250.0,26000000.0,15.59,1.16,0.8,76.8,1993.0,86.0
1152,C&S자산관리,032040,4375.0,7348534.0,-1.1,0.64,2.8,34.71,2173.0,47.0
1153,에스마크,030270,490.0,95129496.0,-0.78,0.47,,200.31,284.0,163.0
1154,엔에스엔,031860,2640.0,20588344.0,-3.09,1.99,,47.35,188.0,111.0
1155,피에스케이,031980,26000.0,20331604.0,26.92,2.66,0.96,499.44,1631.0,253.0
1156,세보엠이씨,011560,12450.0,10530000.0,9.24,1.07,1.61,175.77,3878.0,197.0
1157,한일단조,024740,2135.0,17891328.0,10.17,0.36,2.34,35.7,1208.0,50.0
1158,양지사,030960,9020.0,15980000.0,40.27,1.91,0.55,64.82,509.0,38.0
1159,원익홀딩스,030530,7870.0,77237981.0,2.73,1.0,,102.78,2949.0,404.0
1160,카테아,026260,415.0,89300189.0,-0.24,8.47,,101.56,306.0,132.0
