,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2)
357,아바텍,149950,7660.0,15607500.0,14.84,0.95,2.61,792.31,789.0,107.0,0.914053691281127,1.450969791095077
358,코이즈,121850,4320.0,10532840.0,28.24,1.4,1.27,72.59,314.0,8.0,0.7137687873780966,1.1330373239460565
359,모다,149940,8130.0,19086234.0,-271.0,3.37,,66.49,939.0,53.0,,
360,나노스,151910,1870.0,490837980.0,2.04,31.69,,62.99,397.0,527.0,,
361,엠씨넥스,097520,23800.0,8998218.0,-8.67,3.28,1.39,46.43,4125.0,239.0,0.5500169284776552,0.8730974508657477
362,네이블,153460,5840.0,6530014.0,208.57,1.13,,559.98,216.0,2.0,,
363,디지탈옵틱,106520,1840.0,34342127.0,-0.74,0.62,,38.96,637.0,228.0,,
364,피엔티,137400,14500.0,7933333.0,38.06,1.95,1.38,57.48,1085.0,75.0,0.663133906775512,1.0526594612112297
365,비아트론,141000,18800.0,12114710.0,16.88,2.3,0.53,366.55,764.0,140.0,,
366,빛샘전자,072950,5890.0,6000000.0,12.22,0.67,1.7,348.65,586.0,28.0,,
367,사람인에이치알,143240,22350.0,11634263.0,24.94,3.33,0.54,324.86,737.0,134.0,,
368,뉴로스,126870,7350.0,16519540.0,95.45,2.01,,97.2,441.0,16.0,,
369,제룡산업,147830,8950.0,10000000.0,10.29,1.96,0.84,378.0,352.0,67.0,0.7118093840952928,1.129926965113704
370,남화토건,091590,5760.0,11740000.0,11.88,0.56,1.74,388.18,646.0,34.0,1.0120095147705765,1.6064649683486405
371,메지온,140410,42000.0,8342309.0,-26.38,5.86,,556.94,88.0,72.0,,
372,원익머트리얼즈,104830,63900.0,6304000.0,25.55,1.86,,128.48,1750.0,234.0,,
373,디엔에이링크,127120,6800.0,10737800.0,-4.35,23.53,,282.97,115.0,63.0,,
374,나이스디앤비,130580,7720.0,15400000.0,21.09,3.53,0.76,463.9,340.0,65.0,,
375,시큐브,131090,3040.0,34000000.0,74.15,4.57,0.31,334.83,213.0,22.0,,
376,서암기계공업,100660,3360.0,12600000.0,45.41,0.76,1.49,470.91,318.0,,0.9009726133172054,1.4302048741742694
377,씨유메디칼,115480,2955.0,15570124.0,-25.92,1.02,,138.31,546.0,5.0,,
378,사파이어테크놀로지,123260,2060.0,20327769.0,-0.43,0.91,,28.11,140.0,290.0,,
379,넥스트리밍,139670,3300.0,7016911.0,-4.4,1.2,,550.9,93.0,50.0,,
380,비덴트,121800,17500.0,21178693.0,-11.04,5.91,,55.73,240.0,58.0,,
381,에스에프씨,112240,2485.0,34251694.0,33.58,0.92,0.68,270.88,474.0,3.0,0.8407529448505807,1.3346121091011733
382,신진에스엠,138070,8440.0,8972183.0,73.39,1.2,1.18,132.74,498.0,21.0,0.7872941188907353,1.2497515125355299
383,이엠넷,123570,4375.0,11138039.0,21.45,1.23,0.46,229.21,273.0,33.0,0.7729040747200792,1.2269087412811615
384,와이지엔터테인먼트,122870,29800.0,18185709.0,27.24,1.88,0.67,380.76,3218.0,319.0,0.7026064778527726,1.1153182620631625
385,쎄미시스코,136510,13500.0,5400000.0,42.06,2.38,0.22,230.01,125.0,10.0,,
386,에이티세미콘,089530,570.0,64643777.0,-2.58,1.49,,18.61,893.0,80.0,,
387,테크윙,089030,19050.0,18401365.0,22.62,3.15,1.15,84.52,1420.0,231.0,0.5829649060753287,0.9253991051645193
388,씨큐브,101240,8550.0,8050441.0,13.34,1.33,1.4,108.09,379.0,57.0,0.780264335005153,1.2385924262004475
389,에스엠코어,007820,17100.0,20000000.0,-20.53,6.26,0.29,218.69,504.0,141.0,0.42333034348458337,0.6719950325774868
390,씨엔플러스,115530,3420.0,5894470.0,-1.35,1.4,,37.27,248.0,58.0,,
391,테라세미콘,123100,27000.0,11303840.0,14.35,2.56,0.56,216.12,1724.0,259.0,0.6187413535526682,0.9821906755257332
392,케이맥,043290,13450.0,6838015.0,9.46,1.58,,194.66,895.0,119.0,,
393,로보스타,090360,22300.0,7800000.0,25.81,3.97,0.22,103.0,1517.0,68.0,0.5338362428414332,0.8474122134652421
394,대한과학,131220,5560.0,7156281.0,21.8,1.71,0.72,97.96,461.0,16.0,0.6754211191522371,1.0721641950638
395,피앤이솔루션,131390,11200.0,14280000.0,33.04,3.45,,72.91,468.0,40.0,,
396,아이디스,143160,7730.0,10716390.0,-20.72,0.57,2.59,789.4,1295.0,12.0,1.021200246541731,1.6210543456305284
397,화진,134780,5230.0,24039448.0,12.33,1.41,1.72,185.48,1133.0,78.0,0.774984680037105,1.230211496350139
398,제이씨케미칼,137950,4035.0,19343000.0,6.25,1.13,2.48,39.37,1548.0,164.0,0.8073897067555913,1.2816512698521216
399,아이씨디,040910,12600.0,16646497.0,20.03,1.8,0.79,151.73,2309.0,161.0,,
400,제닉,123330,16400.0,6930000.0,93.71,1.82,,175.65,897.0,54.0,,
401,아이지스시스템,139050,4805.0,24160716.0,-30.61,3.11,,150.02,375.0,9.0,,
402,상아프론테크,089980,14800.0,14263536.0,35.66,1.98,0.95,78.21,1563.0,91.0,0.6591662533953236,1.0463612040616734
403,나이벡,138610,11750.0,6010469.0,-20.33,6.49,,151.06,48.0,25.0,,
404,옵티시스,109080,6730.0,5636000.0,16.26,1.04,0.74,388.46,171.0,21.0,0.8450868927453684,1.3414918225485346
405,대양전기공업,108380,13750.0,9567333.0,8.03,0.75,,233.08,1749.0,183.0,,
406,서연탑메탈,019770,3580.0,11650000.0,-54.24,0.55,1.12,126.77,2058.0,58.0,1.00685198765334,1.5982779043771842
407,넥스트아이,137940,3030.0,68480595.0,70.47,2.91,0.5,509.08,394.0,37.0,0.5922630442501556,0.9401589794845853
408,리켐,131100,1120.0,19072296.0,-0.44,1.61,,11.0,355.0,91.0,,
409,완리,900180,771.0,107630204.0,3.41,0.24,,174.13,2193.0,419.0,,
410,엘아이에스,138690,13450.0,13930034.0,-9.34,3.6,,59.93,1030.0,132.0,,
411,KMH,122450,10850.0,14143106.0,6.07,1.18,,177.41,1595.0,268.0,,
412,골프존뉴딘,121440,5610.0,42836818.0,59.68,0.45,2.09,46.08,2433.0,370.0,1.5152932106487766,2.4053780366241386
413,윈스,136540,14050.0,11478731.0,18.06,1.76,1.92,489.56,736.0,85.0,0.7242713839689295,1.1497091568227424
414,하림,136480,3460.0,86945938.0,10.98,1.01,1.28,41.52,8260.0,204.0,,
415,이퓨쳐,134060,5790.0,4769250.0,148.46,1.54,,407.95,85.0,3.0,,
416,티케이케미칼,104480,1945.0,90895434.0,22.88,0.68,,30.08,6124.0,69.0,,
417,부스타,008470,5340.0,8404800.0,7.16,0.68,1.87,267.01,863.0,65.0,0.9809266237805956,1.5571239544929316
418,나노신소재,121600,20100.0,10848333.0,36.81,2.82,0.5,859.5,411.0,63.0,0.6070730992363245,0.9636684763493366
419,케이아이엔엑스,093320,15800.0,4880000.0,13.37,1.41,0.76,752.74,442.0,78.0,0.787399672605608,1.2499190686135577
420,티피씨글로벌,130740,3030.0,9450000.0,6.05,0.54,1.65,115.6,544.0,39.0,,
421,딜리,131180,2550.0,29350000.0,18.09,1.33,1.96,,386.0,37.0,0.7927399506378844,1.2583962315797963
422,엘비세미콘,061970,2980.0,43784592.0,9.64,1.38,,60.06,1357.0,157.0,,
423,제이엔케이히터,126880,3785.0,14823466.0,-27.63,0.77,1.32,144.71,1435.0,26.0,0.8502551349929642,1.3496958957291947
424,블루콤,033560,6890.0,18088047.0,5.66,0.75,0.73,469.54,2388.0,270.0,1.0247110981386913,1.6266274751488474
425,인트론바이오,048530,49700.0,15038462.0,-1242.5,15.57,,415.23,102.0,12.0,,
426,다나와,119860,14200.0,13074822.0,20.79,2.81,1.07,703.78,644.0,85.0,0.6267945420804003,0.9949743154663534
427,씨그널엔터테인먼트그룹,099830,4310.0,10768371.0,-1.03,1.27,,65.3,240.0,45.0,,
428,알서포트,131370,2875.0,53267083.0,479.17,2.95,0.21,747.75,214.0,2.0,0.5466143146942568,0.8676961381665397
429,인텍플러스,064290,4820.0,11043483.0,-12.75,3.01,,87.74,167.0,36.0,,
430,티에스이,131290,17450.0,11061429.0,-13.42,1.5,,178.64,1267.0,127.0,,
431,액트,131400,2210.0,17366763.0,-6.41,1.09,,56.66,609.0,43.0,,
432,대정화금,120240,13950.0,6202147.0,11.21,0.98,1.79,371.11,609.0,84.0,0.8716869713900126,1.3837168153714798
433,피제이메탈,128660,2005.0,24803369.0,20.25,1.33,4.49,61.2,994.0,15.0,0.8075625540813752,1.281925647878901
