,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),수익률 (PBR 0.5),수익률 (PBR 2)
505,에이프로젠 H&G,109960,3400.0,50368012.0,-2.68,8.46,,161.74,154.0,100.0,,
506,동방선기,099410,1845.0,13541002.0,-8.96,0.67,,241.67,317.0,10.0,,
507,디엠씨,101000,3150.0,36137598.0,8.8,1.79,0.63,26.02,1284.0,151.0,0.6937272623952315,1.1012233861052096
508,진매트릭스,109820,3890.0,10215273.0,-9.33,3.18,,226.92,51.0,40.0,,
509,비츠로셀,082920,14500.0,19590431.0,17.2,2.66,0.13,674.52,1054.0,180.0,0.6489719470179565,1.0301787513941547
510,스틸플라워,087220,266.0,72172928.0,-0.28,0.29,,39.74,929.0,222.0,,
511,한스바이오메드,042520,29550.0,9857857.0,37.22,5.18,0.34,74.43,391.0,95.0,0.5032234062866375,0.798817364514429
512,NHN벅스,104200,9320.0,14827550.0,-39.32,1.89,,262.18,730.0,42.0,,
513,아이앤씨,052860,6150.0,15197510.0,51.25,2.74,,164.0,303.0,5.0,,
514,케이엔더블유,105330,6240.0,5661347.0,-60.0,0.84,,117.48,680.0,1.0,,
515,디에스케이,109740,12800.0,20299507.0,30.26,2.95,0.39,113.3,595.0,60.0,0.6120337327800843,0.9715429912551297
516,제넥신,095700,80200.0,20066704.0,-60.17,9.17,,275.33,114.0,233.0,,
517,톱텍,108230,29200.0,36078457.0,40.95,5.68,0.5,105.1,3927.0,420.0,0.47125476533972693,0.7480703102453095
518,동국S&C,100130,6130.0,57143000.0,21.74,1.28,1.96,94.79,3839.0,256.0,0.7804104642611543,1.2388243919351474
519,에스앤더블류,103230,3350.0,7200000.0,-22.48,0.43,,226.22,422.0,21.0,,
520,게임빌,063080,70100.0,6595192.0,15.52,1.93,,136.78,1615.0,43.0,,
521,동일금속,109860,8300.0,7000000.0,16.12,0.53,1.21,127.84,590.0,16.0,1.0467285138782896,1.661577944055507
522,어보브반도체,102120,8060.0,17459653.0,20.25,1.69,0.62,343.6,1032.0,93.0,0.721250427397439,1.1449136871832082
523,조이맥스,101730,14000.0,8505234.0,-67.96,1.6,,755.14,315.0,41.0,,
524,차이나그레이트,900040,895.0,125866557.0,2.05,0.23,7.33,501.32,5783.0,736.0,1.5105464061593141,2.3978429541840782
525,이엔에프테크놀로지,102710,21450.0,14200000.0,12.32,1.88,0.23,122.15,3343.0,413.0,0.7145810023428221,1.1343266348354861
526,스맥,099440,4185.0,25301367.0,47.02,1.03,1.2,115.64,1228.0,42.0,,
527,해덕파워웨이,102210,5360.0,10173485.0,31.72,0.46,1.87,141.21,1034.0,66.0,,
528,SDN,099220,1690.0,35169296.0,-60.36,1.21,,27.66,362.0,14.0,,
529,한국정밀기계,101680,2270.0,8404000.0,-0.9,0.18,,78.73,230.0,73.0,,
530,흥국,010240,9120.0,6161348.0,15.54,1.13,1.64,102.35,627.0,52.0,0.7984818661756049,1.2675109543446863
531,한솔신텍,099660,967.0,63987602.0,26.86,0.74,,104.56,1607.0,101.0,,
532,우림기계,101170,4260.0,13500000.0,48.97,0.65,1.17,327.43,457.0,6.0,0.9600364986159345,1.5239629478308012
533,티플랙스,081150,1740.0,24268402.0,23.2,0.49,1.15,139.32,1004.0,38.0,1.029633160209964,1.6344407616586385
534,에스티오,098660,2995.0,8455144.0,7.88,0.72,0.66,29.85,1005.0,51.0,0.9186156201942622,1.458211401850792
535,에이테크솔루션,071670,14000.0,10000000.0,109.38,2.07,,39.68,2291.0,22.0,,
536,에스앤에스텍,101490,4120.0,19735331.0,9.05,1.08,,99.74,540.0,73.0,,
537,뷰웍스,100120,44600.0,10001865.0,16.54,4.03,0.45,416.38,1173.0,305.0,0.591904273892346,0.9395894670411833
538,코오롱생명과학,102940,105200.0,7610890.0,90.69,4.62,0.13,230.85,1583.0,185.0,0.48985662428206705,0.7775989206989442
539,엔시트론,101400,754.0,81165655.0,-37.7,4.21,,83.7,418.0,,,
540,파인테크닉스,106240,2575.0,34761694.0,69.59,0.83,0.97,64.7,2163.0,6.0,0.8830466589302354,1.4017491953228594
541,이수앱지스,086890,12600.0,24960263.0,-128.57,5.75,,248.55,191.0,8.0,,
