,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지)
0,시스웍,269620,3995.0,18000000.0,9.94,3.85,0.62,219.73,243.0,59.0,,,
1,한국제6호스팩,281410,1970.0,4510000.0,,,,,,,,,
2,디바이스이엔지,187870,14050.0,6782000.0,17.03,2.95,,80.25,708.0,61.0,,,
3,동부스팩5호,281740,1995.0,4840000.0,,,,,,,,,
4,씨티케이코스메틱스,260930,37650.0,10122151.0,11.32,7.56,0.37,161.74,1339.0,267.0,,,
5,메카로,241770,38800.0,9975140.0,104.02,12.79,,113.24,481.0,31.0,,,
6,에스트래픽,234300,17550.0,11685886.0,22.33,10.19,0.03,160.59,888.0,88.0,,,
7,체리부로,066360,3785.0,27872369.0,5.56,1.51,,27.32,3144.0,256.0,,,
8,대원,007680,12700.0,11050000.0,3.36,0.58,0.79,105.01,2675.0,175.0,0.9894450180646855,1.570646062540576,1.0396272694806303
9,비즈니스온,138580,13850.0,9544940.0,40.03,10.77,,259.41,117.0,47.0,,,
10,한화에이스스팩4호,279410,1995.0,3495000.0,,,,,,,,,
11,스튜디오드래곤,253450,78300.0,28037240.0,137.61,12.68,,96.38,1544.0,166.0,,,
12,IBKS제7호스팩,276920,2020.0,3650000.0,,,,,,,,,
13,비디아이,148140,11500.0,5280500.0,12.34,2.83,,109.7,1006.0,68.0,,,
14,티슈진(Reg.S),950160,59500.0,60448675.0,199.0,67.54,,784.34,133.0,60.0,,,
15,영화테크,265560,18750.0,5345090.0,14.72,2.79,0.36,159.89,614.0,65.0,,,
16,세원,234100,9660.0,3633000.0,10.71,1.54,,132.4,424.0,31.0,,,
17,신한제4호스팩,277480,1995.0,6010000.0,,,,,,,,,
18,상신전자,263810,26100.0,3921000.0,16.02,4.64,3.04,97.28,721.0,66.0,,,
19,IBKS제8호스팩,277410,2445.0,2210000.0,,,,,,,,,
20,야스,255440,26350.0,12930000.0,21.99,6.02,,198.55,830.0,161.0,,,
21,에스엔피월드,263920,6940.0,7876580.0,10.22,3.75,,192.34,272.0,47.0,,,
22,신흥에스이씨,243840,27650.0,6551683.0,32.15,3.14,,66.05,1001.0,71.0,,,
23,유티아이,179900,23950.0,5332145.0,8.43,5.89,,74.94,389.0,123.0,,,
24,선익시스템,171090,24850.0,6000000.0,5.26,2.8,,161.95,1437.0,234.0,,,
25,엠플러스,259630,23300.0,5111890.0,13.96,8.79,,56.48,280.0,42.0,,,
26,앱클론,174900,76200.0,6800000.0,-290.84,38.8,,896.4,31.0,16.0,,,
27,샘코,263540,9350.0,7936681.0,26.41,2.7,1.34,111.57,288.0,24.0,0.6110108514391245,0.9699192683384514,1.0719639407091277
28,펄어비스,263750,254400.0,12066300.0,51.35,33.25,,468.67,927.0,596.0,,,
29,케이피에스,256940,13600.0,4270000.0,13.71,6.36,,114.81,175.0,27.0,,,
30,덕우전자,263600,16050.0,8110066.0,8.97,2.41,1.04,94.3,773.0,138.0,,,
31,이더블유케이,258610,6600.0,7380944.0,10.93,3.47,,103.26,286.0,44.0,,,
32,하나금융10호스팩,270520,2015.0,4602000.0,,,,,,,,,
33,알에스오토메이션,140670,26650.0,9103140.0,58.44,8.77,,77.97,707.0,31.0,,,
34,컬러레이,900310,3480.0,54000000.0,3.04,3.25,,327.64,403.0,233.0,,,
35,엔에이치스팩12호,273060,2020.0,7510000.0,,,,,,,,,
36,모트렉스,118990,34300.0,5412109.0,6.38,2.2,1.17,73.48,2352.0,212.0,0.6933085259353163,1.1005586834082428,1.1360848447751684
37,데이타솔루션,263800,5390.0,15358580.0,16.79,3.65,,118.33,1008.0,39.0,,,
38,지니언스,263860,15400.0,4854900.0,16.37,3.12,,438.81,206.0,38.0,,,
39,디앤씨미디어,263720,12000.0,12041343.0,33.33,15.17,0.6,330.3,189.0,37.0,,,
40,셀트리온헬스케어,091990,136000.0,137338423.0,125.81,23.97,,41.72,7577.0,1786.0,,,
41,이즈미디어,181340,6400.0,7045100.0,8.6,1.72,2.48,114.64,431.0,43.0,,,
42,한국제5호스팩,271740,2030.0,4000000.0,,,,,,,,,
43,힘스,238490,23500.0,5258150.0,19.67,4.37,0.72,94.45,509.0,66.0,0.5099978408483972,0.809571109064256,1.0505227978652707
44,브이원텍,251630,44500.0,7366090.0,31.05,10.77,,321.25,245.0,89.0,,,
45,아우딘퓨쳐스,227610,14100.0,10000000.0,12.78,5.02,0.77,175.51,568.0,96.0,,,
46,이녹스첨단소재,272290,71200.0,8660841.0,,,,,,,,,
47,제일홀딩스,003380,17400.0,70718000.0,5.01,1.08,0.29,48.94,61965.0,4507.0,0.806883273378687,1.2808473569768721,1.043026388984114
48,하나금융9호스팩,261200,1990.0,4260000.0,,,,,,,,,
49,교보7호스팩,267320,2000.0,4020000.0,,,,,,,,,
50,보라티알,250000,15350.0,6750733.0,9.94,4.99,,127.07,384.0,85.0,,,
51,한화수성스팩,265920,1980.0,4440000.0,,,,,,,,,
52,매일유업,267980,75000.0,7608398.0,,,,,,,,,
53,삼양옵틱스,225190,17300.0,10000000.0,10.83,5.1,6.94,249.84,628.0,196.0,,,
54,IBKS제6호스팩,264850,2010.0,4315000.0,,,,,,,,,
55,필옵틱스,161580,35650.0,5818200.0,10.84,5.28,,100.75,1828.0,156.0,,,
56,미래에셋대우스팩1호,265480,2010.0,4840000.0,,,,,,,,,
57,엔에이치스팩10호,256630,1975.0,7000000.0,,,,,,,,,
58,한화에이스스팩3호,264290,2025.0,3080000.0,,,,,,,,,
59,하나머티리얼즈,166090,32600.0,9474737.0,27.01,5.83,,38.33,613.0,111.0,,,
60,와이엠티,251370,33200.0,7405200.0,28.28,5.48,,148.95,499.0,111.0,,,
61,케이비제11호스팩,258790,2025.0,3210000.0,,,,,,,,,
62,AP시스템,265520,34900.0,13899212.0,,,,,,,,,
63,신영스팩3호,263770,3750.0,2605000.0,,,,,,,,,
