,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),수익률 (PBR 0.5),수익률 (PBR 2)
202,삼성카드,029780,38850.0,115858891.0,12.88,0.64,3.86,,34701.0,4309.0,0.9784434523347519,1.5531821655275821
203,베트남개발1,096300,522.0,124245360.0,,,,,,,,
204,알루코,001780,4140.0,74524102.0,12.94,1.54,1.21,86.68,4286.0,245.0,0.7236898922095176,1.148786096192141
205,웅진씽크빅,095720,7220.0,34621165.0,10.68,0.87,,148.26,6240.0,377.0,,
206,맵스리얼티1,094800,3765.0,92834331.0,,,,,,,,
207,아비스타,090370,3750.0,30221846.0,-0.44,1.97,,57.0,921.0,325.0,,
208,후성,093370,10300.0,92399753.0,14.63,6.28,,79.39,1921.0,364.0,,
209,LF,093050,32950.0,29240000.0,18.65,0.92,1.52,190.4,15293.0,790.0,0.8634124582141572,1.3705818444516022
210,주연테크,044380,708.0,98773270.0,44.25,1.29,,213.86,497.0,4.0,,
211,코스맥스비티아이,044820,34750.0,9603921.0,21.73,1.14,0.58,69.14,2669.0,202.0,0.7888670315422586,1.252248355733212
212,인천도시가스,034590,30000.0,4374754.0,15.27,0.76,4.17,141.73,5149.0,110.0,0.9382910990005562,1.489444277605881
213,삼정펄프,009770,41800.0,2499971.0,5.41,0.59,3.95,421.32,1521.0,119.0,,
214,KEC,092220,1420.0,110855877.0,355.0,0.64,,84.19,2277.0,40.0,,
215,KPX홀딩스,092230,66600.0,4224646.0,9.51,0.47,3.15,192.53,9376.0,558.0,1.0960944096093015,1.7399414188702675
216,현대EP,089470,6670.0,31900000.0,4.16,0.8,2.1,100.31,8612.0,689.0,0.9410535335184024,1.4938293690655031
217,세원셀론텍,091090,3580.0,60990792.0,-24.03,1.1,,80.77,2222.0,1.0,,
218,노루페인트,090350,8490.0,20000000.0,18.3,0.63,2.36,98.27,4789.0,312.0,0.980458418695249,1.5563807252479156
219,아모레퍼시픽,090430,309500.0,58458490.0,33.42,5.5,0.51,128.53,56454.0,8481.0,0.5087494121002126,0.8075893519560806
