,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지)
953,한네트,052600,3590.0,11563700.0,17.43,1.12,3.34,220.39,288.0,37.0,0.8152422803437751,1.2941164534266623,1.0666846231495377
954,에스티큐브,052020,6350.0,26607740.0,-25.81,5.57,,370.48,153.0,3.0,,,
955,에이치엘비파워,043220,1250.0,52091927.0,-3.98,2.22,,102.25,329.0,80.0,,,
956,스카이문스테크놀로지,033790,4435.0,17117100.0,-24.37,2.21,,468.81,131.0,22.0,,,
957,큐로홀딩스,051780,1075.0,60193222.0,-4.63,1.21,,51.0,146.0,157.0,,,
958,이에스에이,052190,3290.0,14909754.0,-2.98,1.78,,45.86,30.0,88.0,,,
959,나라엠앤디,051490,4530.0,14200000.0,25.59,0.82,2.21,68.27,1310.0,23.0,0.8864240431073855,1.4071104585185683,1.0453365681703448
960,트레이스,052290,2220.0,53587746.0,-13.88,2.61,,92.13,147.0,10.0,,,
961,에코바이오,038870,10850.0,10716941.0,-13.48,1.57,,312.12,199.0,18.0,,,
962,에이텍,045660,12550.0,8260000.0,14.05,1.94,0.8,172.93,1200.0,58.0,0.7035729136482762,1.1168523832616049,1.1055702747029994
963,SK바이오랜드,052260,24500.0,15000000.0,29.59,2.82,1.02,328.2,978.0,161.0,0.6097159607475341,0.967863757492437,1.0853103179854597
964,대아티아이,045390,1875.0,71151522.0,12.58,1.65,,227.84,990.0,140.0,,,
965,캠시스,050110,2820.0,57775923.0,-5.04,1.69,,58.84,3658.0,177.0,,,
966,SFA반도체,036540,2465.0,141076607.0,49.3,1.37,,135.69,4292.0,148.0,,,
967,삼표시멘트,038500,3460.0,107357173.0,7.39,0.62,,84.2,6159.0,685.0,,,
968,SM C&C,048550,2985.0,94041026.0,-426.43,3.7,,224.15,954.0,35.0,,,
969,승일,049830,10100.0,6132112.0,19.5,0.45,0.84,181.19,1385.0,57.0,1.0846289933802309,1.7217412050869876,1.0471977793441027
970,조광ILI,044060,4940.0,9885656.0,12.38,1.01,1.62,251.09,245.0,34.0,0.8775523529057465,1.3930275281597506,1.1093199535850697
971,피에스엠씨,024850,750.0,38726201.0,-16.3,1.49,,115.34,106.0,11.0,,,
972,TPC,048770,7150.0,12900000.0,-19.75,5.78,0.35,72.0,923.0,20.0,0.43655682395029743,0.6929907615825982,0.9870975164618342
973,코메론,049430,9670.0,9048000.0,6.86,0.76,1.65,365.15,689.0,147.0,0.9663564499923475,1.533995245294107,1.1110967545161006
974,로엔,016170,111200.0,25291705.0,44.89,9.6,0.9,232.09,4506.0,799.0,0.4370612128029679,0.6937914289779283,1.1703327082127266
975,삼화네트웍스,046390,1740.0,42857933.0,9.61,1.81,,908.48,457.0,70.0,,,
976,성광벤드,014620,11550.0,28600000.0,72.64,0.69,1.3,338.33,2031.0,29.0,0.9477730056851211,1.5044958662516237,1.0551900738754088
977,바이오제네틱스,044480,6960.0,8600000.0,-56.13,2.66,,437.63,153.0,11.0,,,
978,유라테크,048430,8640.0,11520000.0,10.16,0.97,1.56,193.85,2112.0,90.0,0.8959354568375745,1.4222088866795752,1.1174050613874404
979,삼현철강,017480,4280.0,15702890.0,6.94,0.48,3.51,546.66,1406.0,78.0,1.0961208190161338,1.739983341190455,1.0813065595130371
980,오픈베이스,049480,4010.0,31422383.0,22.78,2.2,0.62,111.3,1566.0,70.0,0.6391119403650847,1.0145269664609724,1.0472760140719306
981,KCI,036670,9370.0,11270000.0,15.7,2.15,1.92,109.38,443.0,82.0,0.6838489855560717,1.0855425990590941,1.1120296292477145
982,라온시큐어,042510,3965.0,31809612.0,73.43,10.17,,276.47,167.0,19.0,,,
983,오로라,039830,12100.0,10762890.0,19.36,1.4,0.83,57.83,1434.0,148.0,0.7422378954006961,1.1782292159697272,1.0461544358295678
984,금화피에스시,036190,43650.0,6000000.0,10.95,1.56,2.06,354.14,2350.0,298.0,0.7872482976794644,1.249678775896556,1.15034981825654
985,코다코,046070,3125.0,39064256.0,10.74,1.06,1.6,67.87,2864.0,205.0,0.8092683595870118,1.2846334453330015,1.0396117543105172
986,인바디,041830,42100.0,13683782.0,33.92,6.21,0.24,,798.0,220.0,0.516100735091196,0.8192588498053255,1.1952030046523574
987,고려제약,014570,8020.0,11000000.0,17.47,1.63,1.25,455.63,553.0,61.0,0.7161093275448325,1.136752699868907,1.0618223536553006
988,크린앤사이언스,045520,17500.0,6500000.0,31.65,4.07,,186.9,600.0,44.0,,,
989,포스코 ICT,022100,8920.0,152034729.0,36.71,3.62,0.56,151.15,8669.0,522.0,0.5237489112456207,0.8313995726784975,1.0132174371247038
990,이젠텍,033600,6510.0,11887296.0,-6.15,3.53,,21.37,388.0,51.0,,,
991,KD건설,044180,186.0,355691714.0,93.0,1.3,,191.68,371.0,19.0,,,
992,이-글 벳,044960,5540.0,11668434.0,29.01,2.01,0.36,97.84,288.0,11.0,0.6529828715815417,1.036545697265755,1.038270402105736
993,아즈텍WB,032080,2230.0,20916684.0,9.78,0.51,2.24,794.75,526.0,35.0,1.0541298858437076,1.6733268896994193,1.0611110819162854
994,오리콤,010470,5440.0,11498750.0,15.5,0.86,4.04,104.36,1619.0,62.0,0.8838751226149847,1.403064299447548,1.0590108089036456
995,위닉스,044340,16650.0,16358641.0,-19.61,2.78,0.3,46.21,2132.0,25.0,0.5467779475948691,0.8679558892051081,0.9686552894848315
996,상지카일룸,042940,1715.0,32292548.0,-2.92,9.74,,92.22,59.0,58.0,,,
997,엔피케이,048830,2260.0,18723923.0,17.52,1.04,1.2,115.87,674.0,3.0,0.7974763765412396,1.2659148390413517,1.0179792803027368
998,삼천당제약,000250,39800.0,22105813.0,97.55,6.77,0.13,372.64,1474.0,244.0,0.4544846056500073,0.7214493411121738,1.0832417716225582
999,에이치케이,044780,1770.0,18425787.0,21.07,0.71,,103.08,618.0,21.0,,,
