,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지)
600,연이정보통신,090740,2430.0,16000000.0,-46.73,0.41,5.89,77.43,3980.0,75.0,1.1420182160219743,1.8128409174801283,1.0689178153800845
601,옴니시스템,057540,2585.0,40679015.0,41.69,1.58,,101.61,697.0,26.0,,,
602,푸른기술,094940,6320.0,6574202.0,95.76,1.61,1.72,336.37,190.0,2.0,0.6726761661513149,1.0678068537825325,0.9933249197968738
603,웨이브일렉트로,095270,24350.0,10654500.0,-68.79,6.3,,60.56,447.0,31.0,,,
604,넥스지,081970,12950.0,5760000.0,161.88,2.09,0.15,815.13,250.0,4.0,0.6322142439760653,1.003577555956886,1.0184108955161257
605,빅솔론,093190,7160.0,19238905.0,9.66,1.09,2.22,390.92,876.0,132.0,0.8897279717624476,1.4123551183412417,1.1536553264872251
606,S&K폴리텍,091340,6430.0,11703721.0,19.6,1.05,,132.97,634.0,36.0,,,
607,네오디안테크놀로지,072770,1370.0,30309683.0,32.62,1.42,,141.94,608.0,11.0,,,
608,갤럭시아컴즈,094480,6490.0,34829838.0,56.93,3.89,0.38,125.73,539.0,47.0,0.5379140851639249,0.853885384657726,1.065874605704695
609,에코프로,086520,40650.0,22090191.0,-87.42,6.02,,60.32,1705.0,101.0,,,
610,MP그룹,065150,1315.0,80808407.0,-29.22,2.62,,51.86,1513.0,5.0,,,
611,컴투스,078340,150200.0,12866420.0,12.73,2.95,0.93,879.0,5130.0,1920.0,0.7360574618273431,1.1684183892137672,1.330032919553579
612,네오위즈,095660,15600.0,21915008.0,33.12,1.22,,477.33,1910.0,235.0,,,
613,넥스트칩,092600,9350.0,13447500.0,111.31,2.24,0.54,599.47,641.0,13.0,0.6342501394830078,1.0068093386263037,1.0455703105011387
614,엔텔스,069410,15400.0,6899227.0,366.67,2.48,,216.71,565.0,3.0,,,
615,풍강,093380,3350.0,9879313.0,12.45,0.53,2.39,182.47,833.0,31.0,1.0317451408379084,1.6377933219291738,1.0519805750701468
616,동국제약,086450,68300.0,8892000.0,14.94,2.53,0.59,258.96,3097.0,469.0,0.6506127868790185,1.0327834223157157,1.116964662241628
617,케이프,064820,4075.0,22897510.0,10.9,0.6,,37.07,1221.0,61.0,,,
618,상신이디피,091580,8530.0,11295050.0,-93.74,2.62,0.59,41.54,768.0,4.0,0.5779544313738882,0.9174454723525928,1.003854323111799
619,한라IMS,092460,7820.0,10646986.0,22.28,1.12,0.77,430.59,425.0,24.0,0.8098294859567615,1.2855241779226294,1.0596023794042024
620,에프알텍,073540,3415.0,11400000.0,-9.43,1.04,,125.82,219.0,51.0,,,
621,이엠텍,091120,17750.0,14567225.0,21.75,1.97,1.13,142.66,2284.0,166.0,0.6823984174172885,1.083239965669638,1.077796456885288
622,참좋은여행,094850,11200.0,14000000.0,22.72,2.44,1.34,91.53,735.0,85.0,0.6242910107969163,0.9910002072733155,1.0589131840552364
623,코닉글로리,094860,714.0,47653062.0,47.6,2.69,,206.69,107.0,8.0,,,
624,이베스트투자증권,078020,11300.0,40481190.0,18.77,1.09,4.56,,6584.0,322.0,0.8167167233577363,1.2964569858180914,1.058986148616232
625,매커스,093520,4515.0,16163092.0,43.41,1.57,2.21,171.15,677.0,35.0,0.7368959242571205,1.1697493653568316,1.079069383594689
626,오스템임플란트,048260,57800.0,14285717.0,35.14,7.71,,60.99,3446.0,342.0,,,
627,나노캠텍,091970,4030.0,19998251.0,-11.68,1.25,,266.32,531.0,34.0,,,
628,네오팜,092730,49500.0,7461237.0,47.69,9.08,0.71,380.98,424.0,96.0,,,
629,비에이치,090460,19550.0,31269776.0,-24.97,5.73,,69.27,3720.0,258.0,,,
630,오스코텍,039200,19050.0,27250787.0,-132.29,18.55,,187.55,36.0,17.0,,,
631,켐트로닉스,089010,8860.0,12426254.0,-15.79,1.18,,46.9,2461.0,6.0,,,
632,제이스텍,090470,17450.0,14597808.0,21.49,4.48,0.57,112.56,1508.0,170.0,,,
633,동아엘텍,088130,13100.0,11150296.0,5.94,1.27,0.99,212.46,2162.0,336.0,0.8138578766174719,1.2919188494951799,1.1104350032459689
634,휴온스글로벌,084110,67700.0,9911705.0,1.28,2.19,0.55,203.15,1637.0,289.0,1.0189690629253054,1.6175125624106803,1.667192323843074
635,케이씨티,089150,3100.0,17150000.0,34.44,1.36,1.93,178.83,262.0,23.0,0.7521307368086037,1.1939331228275945,1.0499041162041687
636,파트론,091700,9990.0,54156410.0,24.85,1.55,2.0,107.56,7914.0,382.0,0.755592522938065,1.1994283657711902,1.101729258088631
637,디에스티로봇,090710,2670.0,55467831.0,116.09,9.78,,103.39,451.0,16.0,,,
638,유니테스트,086390,12400.0,21134126.0,30.1,3.49,1.21,197.61,1168.0,116.0,0.6166077637886236,0.9788038128898202,1.1784037871140343
639,에스에이티,060540,2155.0,24998547.0,12.68,0.84,,155.98,847.0,52.0,,,
640,큐에스아이,066310,7040.0,8278230.0,41.17,1.1,0.71,,220.0,9.0,0.8021034426608692,1.2732598486671782,1.0432088770147785
641,멀티캠퍼스,067280,34050.0,5926779.0,15.75,2.64,0.73,202.3,1865.0,178.0,0.6346117579477105,1.007383372157584,1.1050605840843168
642,화신테크,086250,1920.0,9700000.0,-2.42,0.65,1.04,83.62,361.0,122.0,,,
643,고려반도체,089890,6800.0,8426114.0,-44.44,13.36,,17.63,279.0,33.0,,,
644,성창오토텍,080470,13300.0,7300000.0,73.89,2.24,0.38,101.09,1527.0,26.0,0.6167311319088769,0.9789996475736895,1.0166899791481385
645,넥스턴,089140,14250.0,11846520.0,8.36,1.72,1.05,980.84,744.0,193.0,0.758389304391604,1.2038679795926632,1.1448405764780136
646,제이티,089790,2710.0,7726917.0,-2.06,1.32,4.8,63.72,223.0,86.0,,,
647,광진윈텍,090150,2650.0,9658393.0,12.33,0.55,1.13,99.4,1058.0,15.0,0.9924401135399931,1.5754004802488242,1.024476194988594
648,이녹스,088390,15050.0,9350844.0,26.64,1.18,,109.65,2325.0,95.0,,,
649,THE E&M,089230,850.0,91860980.0,20.73,1.43,,82.82,153.0,23.0,,,
650,바텍,043150,37450.0,14854256.0,22.47,3.79,0.27,192.58,2383.0,453.0,0.560802439639247,0.8902183826296733,1.1016229191716782
651,한컴MDS,086960,22350.0,8825608.0,19.73,1.95,1.25,263.73,1503.0,136.0,0.6957414885725867,1.1044207708580451,1.0951394852410907
652,루멘스,038060,4895.0,47276784.0,-43.32,1.03,,112.14,4028.0,52.0,,,
653,CSA 코스믹,083660,3960.0,19747641.0,-11.61,2.41,,255.01,345.0,44.0,,,
654,티엘아이,062860,5910.0,9872720.0,-55.75,0.52,1.69,623.2,774.0,10.0,1.0067050782500602,1.598044700235874,1.0199527169025757
655,한국전자금융,063570,13550.0,26015009.0,26.52,3.26,0.59,144.7,2155.0,155.0,0.5817139654229937,0.9234133606570529,1.0867392564641953
656,쇼박스,086980,5310.0,62600000.0,24.81,2.62,0.94,217.91,1259.0,153.0,0.604395210014431,0.9594175921814485,1.0497795526868274
657,팬엔터테인먼트,068050,5140.0,13742997.0,76.72,1.29,,68.75,353.0,20.0,,,
