,기업명,종목코드,현재주가,상장주식수,PER,PBR,배당수익률 (%),당좌비율 (%),매출액 (억),영업이익 (억),1년 수익률 (PBR 0.5),1년 수익률 (PBR 2),1년 수익률 (PBR 유지)
346,국동,005320,3500.0,13032774.0,6.18,0.77,,107.03,1974.0,106.0,,,
347,동남합성,023450,59900.0,1314953.0,11.54,1.36,0.33,111.93,1042.0,81.0,0.7598269076742428,1.206150032555837,1.0606472504432116
348,삼성엔지니어링,028050,17500.0,196000000.0,92.11,3.39,,84.8,70094.0,701.0,,,
349,신도리코,029530,73100.0,10080029.0,23.18,0.85,2.05,802.21,5073.0,163.0,0.8727252192888834,1.3853649311783511,1.0415828803923817
350,예스코,015360,44700.0,6000000.0,7.65,0.37,3.36,135.71,10513.0,211.0,1.1621562615492016,1.8448080721346325,1.051175184357303
351,퍼시스,016800,34400.0,11500000.0,17.06,0.88,2.04,438.82,2316.0,168.0,0.9010053369715499,1.4302568197376004,1.087839738428374
352,WISCOM,024070,4020.0,15025920.0,31.9,0.51,2.49,560.14,1345.0,15.0,1.0435769060839035,1.6565750785273072,1.0504882128365385
353,동원수산,030720,11450.0,4197449.0,54.01,1.38,,99.27,1331.0,13.0,,,
354,미래산업,025560,239.0,630818400.0,-14.06,2.06,,652.88,233.0,86.0,,,
355,KTB투자증권,030210,5300.0,60314092.0,10.31,0.82,,,2631.0,287.0,,,
356,광전자,017900,2930.0,57943763.0,86.18,0.75,,524.45,1709.0,14.0,,,
357,한국단자,025540,69300.0,10415000.0,10.74,1.17,1.01,214.27,7142.0,904.0,0.8320930282034349,1.3208653483055373,1.1046986816077475
358,현대산업,012630,44300.0,75384180.0,10.89,1.24,1.58,127.09,47499.0,5172.0,0.7784675758636425,1.2357402488490803,1.0537180560341233
359,디아이,003160,5000.0,31496785.0,156.25,1.28,1.0,110.26,1097.0,55.0,0.7460310579827991,1.1842504862428442,1.0205561316994838
360,신성이엔지,011930,1950.0,172993713.0,57.35,2.76,,74.83,2172.0,97.0,,,
361,티에이치엔,019180,2125.0,18000000.0,2.56,1.07,2.59,51.69,2938.0,105.0,,,
362,한온시스템,018880,13000.0,533800000.0,23.77,3.8,1.73,111.5,57037.0,4225.0,0.5585250759478015,0.8866032931101586,1.0981134401722992
363,다우인큐브,020120,2825.0,15832549.0,-7.19,2.51,0.71,280.99,253.0,2.0,,,
364,세원정공,021820,15200.0,10000000.0,55.27,0.35,0.66,489.29,2330.0,95.0,1.203064485499255,1.9097458298670977,1.0682057710291915
365,세하,027970,1610.0,29562997.0,5.81,2.98,,32.45,1594.0,109.0,,,
366,영풍제지,006740,3245.0,22200000.0,13.08,0.62,1.39,219.74,875.0,8.0,0.9490602105952507,1.5065391766800618,1.0196105668430733
367,유니온,000910,4275.0,15611619.0,356.25,0.48,1.64,144.54,923.0,17.0,1.030533084868531,1.63586930300834,1.0166052547599194
368,한섬,020000,32250.0,24630000.0,14.06,0.8,0.93,186.61,7120.0,720.0,0.9131632359710596,1.4495562813991452,1.0680421999452958
